,State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votes,Runner-Up,Party,Votes
459,Uttar Pradesh,44,Akbarpur,GEN,Devendra Singh (Bhole Singh),BJP,481584,Anil Shukla Warsi,BSP,202587
460,Uttar Pradesh,45,Jalaun,(SC),Bhanu Pratap Singh Verma,BJP,548631,Brijlal Khabri,BSP,261429
461,Uttar Pradesh,46,Jhansi,GEN,Uma Bharti,BJP,575889,Dr. Chandrapal Singh Yadav,SP,385422
462,Uttar Pradesh,47,Hamirpur,GEN,Kunwar Pushpendra Singh Chandel,BJP,453884,Bishambhar Prasad Nishad,SP,187096
463,Uttar Pradesh,48,Banda,GEN,Bhairon Prasad Mishra,BJP,342066,R. K. Singh Patel,BSP,226278
464,Uttar Pradesh,49,Fatehpur,GEN,Sadhavi Niranjan Jyoti,BJP,485994,Afzal Siddiqui,BSP,298788
465,Uttar Pradesh,50,Kaushambi,(SC),Vinod Kumar Sonkar,BJP,331593,Shailendra Kumar,SP,288746
466,Uttar Pradesh,51,Phulpur,GEN,Keshav Prasad Maurya,BJP,503564,Dharam Raj Singh Patel,SP,195256
467,Uttar Pradesh,52,Allahabad,GEN,Shyama Charan Gupta,BJP,313772,Kunwar Rewati Raman Singh Alias Mani,SP,251763
468,Uttar Pradesh,53,Barabanki,(SC),Priyanka Singh Rawat,BJP,454214,P. L. Punia,INC,242336
469,Uttar Pradesh,54,Faizabad,GEN,Lallu Singh,BJP,491761,Mitrasen Yadav,SP,208986
470,Uttar Pradesh,55,Ambedkar Nagar,GEN,Hari Om Pandey,BJP,432104,Rakesh Pandey,BSP,292675
471,Uttar Pradesh,56,Bahraich,(SC),Sadhvi Savitri Bai Foole,BJP,432392,Shabbir Ahmad,SP,336747
472,Uttar Pradesh,57,Kaiserganj,GEN,Brij Bhusan Sharan Singh,BJP,381500,Vinod Kumar Alias Pandit Singh,SP,303282
473,Uttar Pradesh,58,Shravasti,GEN,Daddan Mishra,BJP,345964,Atiq Ahmad,SP,260051
474,Uttar Pradesh,59,Gonda,GEN,Kirti Vardhan Singh,BJP,359643,Nandita Shukla,SP,199227
475,Uttar Pradesh,60,Domariyaganj,GEN,Jagdambika Pal,BJP,298845,Muhammad Muqeem,BSP,195257
476,Uttar Pradesh,61,Basti,GEN,Harish Chandra Alias Harish Dwivedi,BJP,357680,Brij Kishor Singh (Dimpal),SP,324118
477,Uttar Pradesh,62,Sant Kabir Nagar,GEN,Sharad Tripathi,BJP,348892,Bhism Shankar Alias Kushal Tiwari,BSP,250914
478,Uttar Pradesh,63,Maharajganj,GEN,Pankaj,BJP,471542,Kashi Nath Shukla,BSP,231084
479,Uttar Pradesh,64,Gorakhpur,GEN,Adityanath,BJP,539127,Rajmati Nishad,SP,226344
480,Uttar Pradesh,65,Kushi Nagar,GEN,Rajesh Pandey Urf Guddu,BJP,370051,Kunwar Ratanjit Pratap Narain Singh,INC,284511
481,Uttar Pradesh,66,Deoria,GEN,Kalraj Mishra,BJP,496500,Niyaj Ahmad,BSP,231114
482,Uttar Pradesh,67,Bansgaon,(SC),Kamlesh Paswan,BJP,417959,Sadal Prasad,BSP,228443
483,Uttar Pradesh,68,Lalganj,(SC),Neelam Sonkar,BJP,324016,Bechai Saroj,SP,260930
484,Uttar Pradesh,69,Azamgarh,GEN,Mulayam Singh Yadav,SP,340306,Ramakant Yadav,BJP,277102
485,Uttar Pradesh,70,Ghosi,GEN,Harinarayan Rajbhar,BJP,379797,Dara Singh Chauhan,BSP,233782
486,Uttar Pradesh,71,Salempur,GEN,Ravindra Kushawaha,BJP,392213,Ravi Shanker Singh (Pappu),BSP,159871
487,Uttar Pradesh,72,Ballia,GEN,Bharat Singh,BJP,359758,Neeraj Shekhar,SP,220324
488,Uttar Pradesh,73,Jaunpur,GEN,Krishna Pratap (K.P.),BJP,367149,Subhash Pandey,BSP,220839
489,Uttar Pradesh,74,Machhlishahr,(SC),Ram Charitra Nishad,BJP,438210,Bholanath Alias B.P. Saroj,BSP,266055
490,Uttar Pradesh,75,Ghazipur,GEN,Manoj Sinha,BJP,306929,Smt Shivkanya Kushwaha,SP,274477
491,Uttar Pradesh,76,Chandauli,GEN,Dr Mahendra Nath Pandey,BJP,414135,Anil Kumar Maurya,BSP,257379
492,Uttar Pradesh,77,Varanasi,GEN,Narendra Modi,BJP,581022,Arvind Kejriwal,AAP,209238
493,Uttar Pradesh,78,Bhadohi,GEN,Virendra Singh,BJP,403544,Rakesh Dhar Tripathi,BSP,245505
494,Uttar Pradesh,79,Mirzapur,GEN,Anupriya Singh Patel,AD,436536,Samudra Bind,BSP,217457
495,Uttar Pradesh,80,Robertsganj,(SC),Chhotelal,BJP,378211,Sharada Prasad,BSP,187725
496,Uttarakhand,1,Tehri Garhwal,GEN,Mala Rajya Laxmi Shah,BJP,446733,Saket Bahuguna,INC,254230
497,Uttarakhand,2,Garhwal,GEN,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),BJP,405690,(Dr) Harak Singh Rawat,INC,221164
498,Uttarakhand,3,Almora,(SC),Ajay Tamta,BJP,348186,Pradeep Tamta,INC,252496
499,Uttarakhand,4,Nainital-Udhamsingh Nagar,GEN,Bhagat Singh Koshyari,BJP,636769,K.C.Singh Baba,INC,352052
500,Uttarakhand,5,Hardwar,GEN,Ramesh Pokhriyal Nishank,BJP,592320,Renuka Rawat,INC,414498
501,West Bengal,1,Cooch Behar,(SC),Renuka Sinha,AITC,526499,Dipak Kumar Roy,AIFB,439392
502,West Bengal,2,Alipurduars,(SC),Dasrath Tirkey,AITC,362453,Manohar Tirkey,RSP,341056
503,West Bengal,3,Jalpaiguri,(SC),Bijoy Chandra Barman,AITC,494773,Mahendra Kumar Roy,CPM,425167
504,West Bengal,4,Darjeeling,GEN,S.S.Ahluwalia,BJP,488257,Bhai Chung Bhutia,AITC,291018
505,West Bengal,5,Raiganj,GEN,Md. Salim,CPM,317515,Deepa Dasmunsi,INC,315881
506,West Bengal,6,Balurghat,GEN,Arpita Ghosh,AITC,409641,Bimalendu Sarkar (Bimal),RSP,302677
507,West Bengal,7,Maldaha Uttar,GEN,Mausam Noor,INC,388609,Khagen Murmu,CPM,322904
508,West Bengal,8,Maldaha Dakshin,GEN,Abu Hasem Khan Chowdhury,INC,380291,Bisnu Pada Roy,BJP,216180
509,West Bengal,9,Jangipur,GEN,Abhijit Mukherjee,INC,378201,Muzaffar Hossain,CPM,370040
510,West Bengal,10,Baharampur,GEN,Adhir Ranjan Chowdhury,INC,583549,Indranil Sen,AITC,226982
511,West Bengal,11,Murshidabad,GEN,Badaruddoza Khan,CPM,426947,Abdul Mannan Hossain,INC,408494
512,West Bengal,12,Krishnanagar,GEN,Tapas Paul,AITC,438789,Jha Shantanu,CPM,367534
513,West Bengal,13,Ranaghat,(SC),Tapas Mandal,AITC,590451,Archana Biswas,CPM,388684
514,West Bengal,14,Bangaon,(SC),Mamata Thakur,AITC,539999,Debesh Das,CPM,328214
515,West Bengal,15,Barrackpore,GEN,Dinesh Trivedi,AITC,479206,Subhashini Ali,CPM,272433
516,West Bengal,16,Dum Dum,GEN,Saugata Roy,AITC,483244,Asim Kumar Dasgupta,CPM,328310
517,West Bengal,17,Barasat,GEN,Dr. Kakali Ghoshdostidar,AITC,525387,Dr. Mortoza Hossain,AIFB,352246
518,West Bengal,18,Basirhat,GEN,Idris Ali,AITC,492326,Nurul Huda,CPI,382667
519,West Bengal,19,Joynagar,(SC),Pratima Mondal,AITC,494746,Subhas Naskar,RSP,386362
520,West Bengal,20,Mathurapur,(SC),Choudhury Mohan Jatua,AITC,627761,Rinku Naskar,CPM,489325
521,West Bengal,21,Diamond Harbour,GEN,Abhishek Banerjee,AITC,508481,Dr. Abul Hasnat,CPM,437183
522,West Bengal,22,Jadavpur,GEN,Sugata Bose,AITC,584244,Sujan Chakraborty,CPM,459041
523,West Bengal,23,Kolkata Dakshin,GEN,Subrata Bakshi,AITC,431715,Tathagata Roy,BJP,295376
524,West Bengal,24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,343687,Rahul (Biswajit) Sinha,BJP,247461
525,West Bengal,25,Howrah,GEN,Prasun Banerjee,AITC,488461,Sridip Bhattacharya,CPM,291505
526,West Bengal,26,Uluberia,GEN,Sultan Ahmed,AITC,570785,Sabir Uddin Molla,CPM,369563
527,West Bengal,27,Serampore,GEN,Kalyan Banerjee,AITC,514933,Tirthankar Ray,CPM,362407
528,West Bengal,28,Hooghly,GEN,Dr. Ratna De (Nag),AITC,614312,Pradip Saha,CPM,425228
529,West Bengal,29,Arambagh,(SC),Aparupa Poddar (Afrin Ali),AITC,748764,Saktimohan Malik,CPM,401919
530,West Bengal,30,Tamluk,GEN,Adhikari Suvendu,AITC,716928,Sekh Ibrahim Ali,CPM,470447
531,West Bengal,31,Kanthi,GEN,Adhikari Sisir Kumar,AITC,676749,Sinha Tapas,CPM,447259
532,West Bengal,32,Ghatal,GEN,Adhikari Deepak (Dev),AITC,685696,Santosh Rana,CPI,424805
533,West Bengal,33,Jhargram,(ST),Uma Saren,AITC,674504,Dr. Pulin Bihari Baske,CPM,326621
534,West Bengal,34,Medinipur,GEN,Sandhya Roy,AITC,579860,Prabodh Panda,CPI,395194
535,West Bengal,35,Purulia,GEN,Dr. Mriganka Mahato,AITC,468277,Narahari Mahato,AIFB,314400
536,West Bengal,36,Bankura,GEN,Sreemati Dev Varma (Moon Moon Sen),AITC,483455,Acharia Basudeb,CPM,384949
537,West Bengal,37,Bishnupur,(SC),Khan Saumitra,AITC,578870,Susmita Bauri,CPM,429185
538,West Bengal,38,Bardhaman Purba,(SC),Sunil Kumar Mondal,AITC,574660,Iswar Chandra Das,CPM,460181
539,West Bengal,39,Bardhaman-Durgapur,GEN,Dr. Mamtaz Sanghamita,AITC,554521,Sk. Saidul Haque,CPM,447190
540,West Bengal,40,Asansol,GEN,Babul Supriya Baral (Babul Supriyo),BJP,419983,Dola Sen,AITC,349503
541,West Bengal,41,Bolpur,(SC),Anupam Hazra,AITC,630693,Dome Ramchandra,CPM,394581
542,West Bengal,42,Birbhum,GEN,Satabdi Roy (Banerjee),AITC,460568,Dr. Elahi Kamre Muhammad,CPM,393305
