,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
70,Bihar,11,Sitamarhi,GEN,Nawal Kishore Rai,M,JD(U),410557,Suryadeo Rai,M,RJD,309300
71,Bihar,12,Sheohar,GEN,Md Anwarul Haque,M,RJD,347279,Anand Mohan,M,BPSP,344744
72,Bihar,13,Madhubani,GEN,Hukumdeo Narayan Yadav,M,BJP,328616,Dr Shakil Ahmad,M,INC,266001
73,Bihar,14,Jhanjharpur,GEN,Devendra Prasad Yadav,M,JD(U),375852,Surendra Prasad Yadav,M,RJD,248038
74,Bihar,15,Darbhanga,GEN,Kirti Azad,M,BJP,395549,Md Ali Ashraf Fatmi,M,RJD,340001
75,Bihar,16,Rosera,(SC),Ram Chandra Paswan,M,JD(U),420564,Pitamber Paswan,M,RJD,277648
76,Bihar,17,Samastipur,GEN,Manjay Lal,M,JD(U),368776,Ashok Singh,M,RJD,356088
77,Bihar,18,Barh,GEN,Nitish Kumar,M,JD(U),362016,Vijay Krishna,M,RJD,360681
78,Bihar,19,Balia,GEN,Ramjivan Singh,M,JD(U),169443,Ashok Kumar,M,RJD,157411
79,Bihar,20,Saharsa,GEN,Dinesh Chandra Yadav,M,JD(U),392926,Surya Narayan Yadav,M,RJD,298433
80,Bihar,21,Madhepura,GEN,Sharad Yadav,M,JD(U),328761,Lalu Prasad,M,RJD,298441
81,Bihar,22,Araria,(SC),Sukdeo Paswan,M,RJD,308579,Parmanand Rishidev,M,BJP,306410
82,Bihar,23,Kishanganj,GEN,Syed Shahnawaz Hussain,M,BJP,258035,Taslimuddin,M,RJD,249387
83,Bihar,24,Purnia,GEN,Rajesh Ranjan,M,IND,438193,Jay Krishna Mandal,M,BJP,185627
84,Bihar,25,Katihar,GEN,Nikhil Kumar Choudhary,M,BJP,280911,Tariq Anwar,M,NCP,144059
85,Bihar,26,Rajmahal,(ST),Thomas Hansda,M,INC,250298,Som Marandi,M,BJP,188199
86,Bihar,27,Dumka,(ST),Babu Lal Marandi,M,BJP,201141,Rupi Soren Kisku,M,JMM,196493
87,Jharkhand,By Polls (2002),Dumka,(ST),Shibu Soren,M,JMM,256360,Ramesh Hembram,M,BJP,163535
88,Bihar,28,Godda,GEN,Jagdambi Prasad Yadav,M,BJP,221191,Suraj Mandal,M,JMM,141299
89,Jharkhand,By Polls (2002),Godda,GEN,Pradeep Yadav,M,BJP,235939,Furkan Ansari,M,INC,142677
90,Bihar,29,Banka,GEN,Digvijay Singh,M,JD(U),233453,Giridhari Yadav,M,IND,212045
