,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
342,11,Dausa,(ST),Jaskaur Meena,Bharatiya Janata Party,"5,48,733",Savita Meena,INC,"4,70,289","78,444",,Rajasthan
343,12,Tonk–Sawai Madhopur,GEN,Sukhbir Singh Jaunapuria,Bharatiya Janata Party,"6,44,319",Namo Narain Meena,INC,"5,33,028","1,11,291",,Rajasthan
344,13,Ajmer,GEN,Bhagirath Choudhary,Bharatiya Janata Party,"8,15,076",Riju Jhunjhunwala,INC,"3,98,652","4,16,424",,Rajasthan
345,14,Nagaur,GEN,Hanuman Beniwal,Rashtriya Loktantrik Party,"6,60,051",Jyoti Mirdha,INC,"4,78,791","1,81,260",,Rajasthan
346,15,Pali,GEN,P P Chaudhary,Bharatiya Janata Party,"9,00,149",Badri Ram Jakhar,INC,"4,18,552","4,81,597",,Rajasthan
347,16,Jodhpur,GEN,Gajendra Singh Shekhawat,Bharatiya Janata Party,"7,88,888",Vaibhav Gehlot,INC,"5,14,448","2,74,440",,Rajasthan
348,17,Barmer,GEN,Kailash Choudhary,Bharatiya Janata Party,"8,46,526",Manvendra Singh,INC,"5,22,718","3,23,808",,Rajasthan
349,18,Jalore,(SC),Devaji Patel,Bharatiya Janata Party,"7,72,833",Ratan Dewasi,INC,"5,11,723","2,61,110",,Rajasthan
350,19,Udaipur,(ST),Arjunlal Meena,Bharatiya Janata Party,"8,71,548",Raghuvir Singh Meena,INC,"4,33,634","4,37,914",,Rajasthan
351,20,Banswara,(ST),Kanak Mal Katara,Bharatiya Janata Party,"7,11,709",Tarachand Bhagora,INC,"4,06,245","3,05,464",,Rajasthan
352,21,Chittorgarh,GEN,Chandra Prakash Joshi,Bharatiya Janata Party,"9,82,942",Gopal Singh Shekhawat,INC,"4,06,695","5,76,247",,Rajasthan
353,22,Rajsamand,GEN,Diya Kumari,Bharatiya Janata Party,"8,63,039",Devkinandan Kaka,INC,"3,11,123","5,51,916",,Rajasthan
354,23,Bhilwara,GEN,Subhash Chandra Baheria,Bharatiya Janata Party,"9,38,160",Ram Pal Sharma,INC,"3,26,160","6,12,000",,Rajasthan
355,24,Kota,GEN,Om Birla,Bharatiya Janata Party,"8,00,051",Ram Narain Meena,INC,"5,20,374","2,79,677",,Rajasthan
356,25,Jhalawar–Baran,GEN,Dushyant Singh,Bharatiya Janata Party,"8,87,400",Pramod Sharma,INC,"4,33,472","4,53,928",,Rajasthan
357,1,Sikkim,GEN,Indra Hang Subba,Sikkim Krantikari Morcha,"1,66,922",Dek Bahadur Katwal,Sikkim Democratic Front,"1,54,489","12,433",,Sikkim
358,1,Thiruvallur,GEN,K. Jayakumar,INC,"7,67,292",Ponnusamy Venugopal,All India Anna Dravida Munnetra Kazhagam,"4,10,337","3,56,955",,Tamil Nadu
359,2,Chennai North,GEN,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,"5,90,986",R. Mohanraj,Desiya Murpokku Dravida Kazhagam,"1,29,468","4,61,518",,Tamil Nadu
360,3,Chennai South,GEN,Thamizhachi Thangapandian,Dravida Munnetra Kazhagam,"5,64,872",J. Jayavardhan,All India Anna Dravida Munnetra Kazhagam,"3,02,649","2,62,223",,Tamil Nadu
361,4,Chennai Central,GEN,Dayanidhi Maran,Dravida Munnetra Kazhagam,"4,48,911",Sam Paul S. R.,Pattali Makkal Katchi,"1,47,391","3,01,520",,Tamil Nadu
362,5,Sriperumbudur,(SC),T R Baalu,Dravida Munnetra Kazhagam,"7,93,281",Vaithilingam A,Pattali Makkal Katchi,"2,85,326","5,07,955",,Tamil Nadu
363,6,Kancheepuram,(SC),G. Selvam,Dravida Munnetra Kazhagam,"6,84,004",K. Maragatham,All India Anna Dravida Munnetra Kazhagam,"3,97,372","2,86,632",,Tamil Nadu
364,7,Arakkonam,(SC),S. Jagathrakshakan,Dravida Munnetra Kazhagam,"6,72,190",A. K. Moorthy,Pattali Makkal Katchi,"3,43,234","3,28,956",,Tamil Nadu
365,8,Vellore,(SC),D. M. Kathir Anand,Dravida Munnetra Kazhagam,"4,85,340",A. C. Shanmugam,All India Anna Dravida Munnetra Kazhagam,"4,77,199","8,141",,Tamil Nadu
366,9,Krishnagiri,GEN,A. Chellakumar,INC,"6,11,298",K. P. Munusamy,All India Anna Dravida Munnetra Kazhagam,"4,54,533","1,56,765",,Tamil Nadu
367,10,Dharmapuri,GEN,Dr S Senthil Kumar,Dravida Munnetra Kazhagam,"5,74,988",Anbumani Ramadoss,Pattali Makkal Katchi,"5,04,235","70,753",,Tamil Nadu
368,11,Tiruvannamalai,GEN,C. N. Annadurai,Dravida Munnetra Kazhagam,"6,66,272",Agri Krishnamurthy S S,All India Anna Dravida Munnetra Kazhagam,"3,62,085","3,04,187",,Tamil Nadu
369,12,Arani,GEN,M. K. Vishnu Prasad,INC,"6,17,760",V. Elumalai,All India Anna Dravida Munnetra Kazhagam,"3,86,954","2,30,806",,Tamil Nadu
370,13,Viluppuram,GEN,D. Ravikumar,Dravida Munnetra Kazhagam,"5,59,585",Vadivel Ravanan,Pattali Makkal Katchi,"4,31,517","1,28,068",,Tamil Nadu
371,14,Kallakurichi,GEN,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,"7,21,713",Sudhish L K,Desiya Murpokku Dravida Kazhagam,"3,21,794","3,99,919",,Tamil Nadu
372,15,Salem,GEN,S. R. Parthiban,Dravida Munnetra Kazhagam,"6,06,302",K. R. S. Saravanan,All India Anna Dravida Munnetra Kazhagam,"4,59,376","1,46,926",,Tamil Nadu
373,16,Namakkal,GEN,A.K.P. Chinraj,Dravida Munnetra Kazhagam,"6,26,293",Kaliappan,All India Anna Dravida Munnetra Kazhagam,"3,61,142","2,65,151",,Tamil Nadu
374,17,Erode,GEN,A. Ganeshamurthi,Dravida Munnetra Kazhagam,"5,63,591",G. Manimaran,All India Anna Dravida Munnetra Kazhagam,"3,52,973","2,10,618",,Tamil Nadu
375,18,Tiruppur,GEN,K. Subbarayan,Communist Party of India,"5,08,725",M. S. M. Anandan,All India Anna Dravida Munnetra Kazhagam,"4,15,357","93,368",,Tamil Nadu
376,19,Nilgiris,GEN,A. Raja,Dravida Munnetra Kazhagam,"5,47,832",Thiyagarajan M.,All India Anna Dravida Munnetra Kazhagam,"3,42,009","2,05,823",,Tamil Nadu
377,20,Coimbatore,GEN,P.R. Natarajan,Communist Party of India (Marxist),"5,71,150",C. P. Radhakrishnan,Bharatiya Janata Party,"3,92,007","1,79,143",,Tamil Nadu
378,21,Pollachi,GEN,K. Shamugasundaram,Dravida Munnetra Kazhagam,"5,54,230",C. Mahendran,All India Anna Dravida Munnetra Kazhagam,"3,78,347","1,75,883",,Tamil Nadu
379,22,Dindigul,GEN,P. Veluchamy,Dravida Munnetra Kazhagam,"7,46,523",K. Jothimuthu,Pattali Makkal Katchi,"2,07,551","5,38,972",,Tamil Nadu
380,23,Karur,GEN,S.Jothimani,INC,"6,95,697",M. Thambidurai,All India Anna Dravida Munnetra Kazhagam,"2,75,151","4,20,546",,Tamil Nadu
381,24,Tiruchirappalli,GEN,Su. Thirunavukkarasar,INC,"6,21,285",V. Elangovan,Desiya Murpokku Dravida Kazhagam,"1,61,999","4,59,286",,Tamil Nadu
382,25,Perambalur,GEN,T. R. Paarivendhar,Dravida Munnetra Kazhagam,"6,83,697",N. R. Sivapathi,All India Anna Dravida Munnetra Kazhagam,"2,80,179","4,03,518",,Tamil Nadu
383,26,Cuddalore,GEN,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,"5,22,160",R. Govindasamy,Pattali Makkal Katchi,"3,78,177","1,43,983",,Tamil Nadu
384,27,Chidambaram,(SC),Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,"5,00,229",Chandrasekar P.,All India Anna Dravida Munnetra Kazhagam,"4,97,010","3,219",,Tamil Nadu
385,28,Mayiladuthurai,GEN,S. Ramalingam,Dravida Munnetra Kazhagam,"5,99,292",Asaimani S,All India Anna Dravida Munnetra Kazhagam,"3,37,978","2,61,314",,Tamil Nadu
386,29,Nagapattinam,(SC),M. Selvaraj,Communist Party of India,"5,22,892",M. Saravanan,All India Anna Dravida Munnetra Kazhagam,"3,11,539","2,11,353",,Tamil Nadu
387,30,Thanjavur,(SC),S S Palanimanickam,Dravida Munnetra Kazhagam,"5,88,978",N. V. Natarajan,Tamil Maanila Congress (M),"2,20,849","3,68,129",,Tamil Nadu
388,31,Sivaganga,GEN,Karti P Chidambaram,INC,"5,66,104",H. Raja,Bharatiya Janata Party,"2,33,860","3,32,244",,Tamil Nadu
389,32,Madurai,GEN,S. Venkatesan,Communist Party of India (Marxist),"4,47,075",Raj Satyen V. V. R.,All India Anna Dravida Munnetra Kazhagam,"3,07,680","1,39,395",,Tamil Nadu
390,33,Theni,GEN,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,"5,04,813",E. V. K. S. Elangovan,INC,"4,28,120","76,693",,Tamil Nadu
391,34,Virudhunagar,GEN,Manickam Tagore,INC,"4,70,883",Alagarsamy,Desiya Murpokku Dravida Kazhagam,"3,16,329","1,54,554",,Tamil Nadu
392,35,Ramanathapuram,GEN,Navaskani,Indian Union Muslim League,"4,69,943",Nainar Nagendran,Bharatiya Janata Party,"3,42,821","1,27,122",,Tamil Nadu
393,36,Thoothukkudi,GEN,Kanimozhi,Dravida Munnetra Kazhagam,"5,63,143",Tamilisai Soundararajan,Bharatiya Janata Party,"2,15,934","3,47,209",,Tamil Nadu
394,37,Tenkasi,GEN,Dhanush M. Kumar,Dravida Munnetra Kazhagam,"4,76,156",K. Krishnasamy,All India Anna Dravida Munnetra Kazhagam,"3,55,870","1,20,286",,Tamil Nadu
395,38,Tirunelveli,GEN,S. Gnanathiraviam,Dravida Munnetra Kazhagam,"5,22,623",P. H. Paul Manoj Pandian,All India Anna Dravida Munnetra Kazhagam,"3,37,166","1,85,457",,Tamil Nadu
396,39,Kanyakumari,GEN,H. Vasanthakumar,INC,"6,27,235",Pon Radhakrishnan,Bharatiya Janata Party,"3,67,302","2,59,933",,Tamil Nadu
397,1,Adilabad,(ST),Soyam Bapu Rao,Bharatiya Janata Party,"3,77,374",Godam Nagesh,Telangana Rashtra Samithi,"3,18,814","58,560",,Telangana
398,2,Peddapalli,(SC),Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,"4,41,321",Agam Chandrasekhar,INC,"3,46,141","95,180",,Telangana
399,3,Karimnagar,GEN,Bandi Sanjay Kumar,Bharatiya Janata Party,"4,98,276",Boianapalli Vinod Kumar,Telangana Rashtra Samithi,"4,08,768","89,508",,Telangana
400,4,Nizamabad,GEN,Arvind Dharmapuri,Bharatiya Janata Party,"4,80,584",Kalvakuntla Kavitha,Telangana Rashtra Samithi,"4,09,709","70,875",,Telangana
401,5,Zahirabad,GEN,B. B. Patil,Telangana Rashtra Samithi,"4,34,244",Madan Mohan Rao,INC,"4,28,015","6,229",,Telangana
402,6,Medak,GEN,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,"5,96,048",Anil Kumar Gali,INC,"2,79,621","3,16,427",,Telangana
403,7,Malkajgiri,GEN,Anumula Revanth Reddy,INC,"6,03,748",Marri Rajasekhar Reddy,Telangana Rashtra Samithi,"5,92,829","10,919",,Telangana
404,8,Secunderabad,GEN,G. Kishan Reddy,Bharatiya Janata Party,"3,84,780",Talasani Sai Kiran Yadav,Telangana Rashtra Samithi,"3,22,666","62,114",,Telangana
405,9,Hyderabad,GEN,Asaduddin Owaisi,All India Majlis-e-Ittehadul Muslimeen,"5,17,471",Bhagavanth Rao,Bharatiya Janata Party,"2,35,285","2,82,186",,Telangana
406,10,Chevella,GEN,G. Ranjith Reddy,Telangana Rashtra Samithi,"5,28,148",Konda Vishweshwar Reddy,INC,"5,13,831","14,317",,Telangana
407,11,Mahbubnagar,GEN,Manne Srinivas Reddy,Telangana Rashtra Samithi,"4,11,402",D. K. Aruna,Bharatiya Janata Party,"3,33,573","77,829",,Telangana
408,12,Nagarkurnool,(SC),Pothuganti Ramulu,Telangana Rashtra Samithi,"4,99,672",Mallu Ravi,INC,"3,09,924","1,89,748",,Telangana
409,13,Nalgonda,GEN,Nalamada Uttam Kumar Reddy,INC,"5,26,028",Vemireddy Narasimha Reddy,Telangana Rashtra Samithi,"5,00,346","25,682",,Telangana
410,14,Bhongir,GEN,Komatireddy Venkat Reddy,INC,"5,32,795",Boora Narsaiah Goud,Telangana Rashtra Samithi,"5,27,576","5,219",,Telangana
411,15,Warangal,(SC),Dayakar Pasunoori,Telangana Rashtra Samithi,"6,12,498",Dommati Sambaiah,INC,"2,62,200","3,50,298",,Telangana
412,16,Mahabubabad,(ST),Kavitha Maloth,Telangana Rashtra Samithi,"4,62,109",Balaram Naik Porika,INC,"3,15,446","1,46,663",,Telangana
413,17,Khammam,GEN,Nama Nageswara Rao,Telangana Rashtra Samithi,"5,67,459",Renuka Chowdhury,INC,"3,99,397","1,68,062",,Telangana
414,1,Tripura West,GEN,Pratima Bhowmik,Bharatiya Janata Party,"5,73,532",Subal Bhowmick,INC,"2,67,843","3,05,689",,Tripura
415,2,Tripura East,(ST),Rebati Tripura,Bharatiya Janata Party,"4,82,126",Pragya Deb Burman,INC,"2,77,836","2,04,290",,Tripura
416,1,Saharanpur,GEN,Haji Fazlur Rehman,Bahujan Samaj Party,"5,14,139",Raghav Lakhanpal,Bharatiya Janata Party,"4,91,722","22,417",,Uttar Pradesh
417,2,Kairana,GEN,Pradeep Kumar Choudhary,Bharatiya Janata Party,"5,66,961",Begum Tabassum Hasan,Samajwadi Party,"4,74,801","92,160",,Uttar Pradesh
418,3,Muzaffarnagar,GEN,Sanjeev Kumar Balyan,Bharatiya Janata Party,"5,73,780",Ajit Singh,Rashtriya Lok Dal,"5,67,254","6,526",,Uttar Pradesh
419,4,Bijnor,GEN,Malook Nagar,Bahujan Samaj Party,"5,61,045",Bharatendra Singh,Bharatiya Janata Party,"4,91,104","69,941",,Uttar Pradesh
420,5,Nagina,(SC),Girish Chandra,Bahujan Samaj Party,"5,68,378",Yashwant Singh,Bharatiya Janata Party,"4,01,546","1,66,832",,Uttar Pradesh
421,6,Moradabad,GEN,S. T. Hasan,Samajwadi Party,"6,49,416",Kunwar Sarvesh Kumar Singh,Bharatiya Janata Party,"5,51,538","97,878",,Uttar Pradesh
422,7,Rampur,GEN,Azam Khan,Samajwadi Party,"5,59,177",Jaya Prada,Bharatiya Janata Party,"4,49,180","1,09,997",,Uttar Pradesh
423,8,Sambhal,GEN,Shafiqur Rehman Barq,Samajwadi Party,"6,58,006",Parameshwar Lal Saini,Bharatiya Janata Party,"4,83,180","1,74,826",,Uttar Pradesh
424,9,Amroha,GEN,Kunwar Danish Ali,Bahujan Samaj Party,"6,01,082",Kanwar Singh Tanwar,Bharatiya Janata Party,"5,37,834","63,248",,Uttar Pradesh
425,10,Meerut,GEN,Rajendra Agrawal,Bharatiya Janata Party,"5,86,184",Hazi Mohammad Yakoob,Bahujan Samaj Party,"5,81,455","4,729",,Uttar Pradesh
426,11,Baghpat,GEN,Satya Pal Singh,Bharatiya Janata Party,"5,25,789",Jayant Chaudhary,Rashtriya Lok Dal,"5,02,287","23,502",,Uttar Pradesh
427,12,Ghaziabad,GEN,General Vijay Kumar Singh,Bharatiya Janata Party,"9,44,503",Suresh Bansal,Samajwadi Party,"4,43,003","5,01,500",,Uttar Pradesh
428,13,Gautam Buddh Nagar,GEN,Mahesh Sharma,Bharatiya Janata Party,"8,30,812",Satveer Singh Gurjar,Bahujan Samaj Party,"4,93,890","3,36,922",,Uttar Pradesh
429,14,Bulandshahr,(SC),Bhola Singh,Bharatiya Janata Party,"6,81,321",Yogesh Verma,Bahujan Samaj Party,"3,91,264","2,90,057",,Uttar Pradesh
430,15,Aligarh,GEN,Satish Kumar Gautam,Bharatiya Janata Party,"6,56,215",Ajeet Baliyan,Bahujan Samaj Party,"4,26,954","2,29,261",,Uttar Pradesh
431,16,Hathras,(SC),Rajvir Singh Diler,Bharatiya Janata Party,"6,84,299",Ram Ji Lal Suman,Samajwadi Party,"4,24,091","2,60,208",,Uttar Pradesh
432,17,Mathura,GEN,Hema Malini,Bharatiya Janata Party,"6,71,293",Kunwar Narendra Singh,Rashtriya Lok Dal,"3,77,822","2,93,471",,Uttar Pradesh
433,18,Agra,(SC),Satya Pal Singh Baghel,Bharatiya Janata Party,"6,46,875",Manoj Kumar Soni,Bahujan Samaj Party,"4,35,329","2,11,546",,Uttar Pradesh
434,19,Fatehpur Sikri,GEN,Rajkumar Chahar,Bharatiya Janata Party,"6,67,147",Raj Babbar,INC,"1,72,082","4,95,065",,Uttar Pradesh
435,20,Firozabad,GEN,Chandra Sen Jadon,Bharatiya Janata Party,"4,95,819",Akshay Yadav,Samajwadi Party,"4,67,038","28,781",,Uttar Pradesh
436,21,Mainpuri,GEN,Mulayam Singh Yadav,Samajwadi Party,"5,24,926",Prem Singh Shakya,Bharatiya Janata Party,"4,30,537","94,389",,Uttar Pradesh
437,22,Etah,GEN,Rajveer Singh,Bharatiya Janata Party,"5,45,348",Devendra Singh Yadav,Samajwadi Party,"4,22,678","1,22,670",,Uttar Pradesh
438,23,Badaun,GEN,Sanghmitra Maurya,Bharatiya Janata Party,"5,11,352",Dharmendra Yadav,Samajwadi Party,"4,92,898","18,454",,Uttar Pradesh
439,24,Aonla,GEN,Dharmendra Kashyap,Bharatiya Janata Party,"5,37,675",Ruchi Veera,Bahujan Samaj Party,"4,23,932","1,13,743",,Uttar Pradesh
440,25,Bareilly,GEN,Santosh Kumar Gangwar,Bharatiya Janata Party,"5,65,270",Bhagwat Saran Gangwar,Samajwadi Party,"3,97,988","1,67,282",,Uttar Pradesh
441,26,Pilibhit,GEN,Varun Gandhi,Bharatiya Janata Party,"7,04,549",Hemraj Verma,Samajwadi Party,"4,48,922","2,55,627",,Uttar Pradesh
442,27,Shahjahanpur,(SC),Arun Kumar Sagar,Bharatiya Janata Party,"6,88,990",Amar Chandra Jauhar,Bahujan Samaj Party,"4,20,572","2,68,418",,Uttar Pradesh
443,28,Kheri,GEN,Ajay Kumar Mishra,Bharatiya Janata Party,"6,09,589",Purvi Verma,Samajwadi Party,"3,90,782","2,18,807",,Uttar Pradesh
444,29,Dhaurahra,GEN,Rekha Verma,Bharatiya Janata Party,"5,12,905",Arshad Iliyas Siddiqui,Bahujan Samaj Party,"3,52,294","1,60,611",,Uttar Pradesh
445,30,Sitapur,GEN,Rajesh Verma,Bharatiya Janata Party,"5,14,528",Nakul Dubey,Bahujan Samaj Party,"4,13,695","1,00,833",,Uttar Pradesh
446,31,Hardoi,(SC),Jai Prakash Rawat,Bharatiya Janata Party,"5,68,143",Usha Verma,Samajwadi Party,"4,35,669","1,32,474",,Uttar Pradesh
447,32,Misrikh,(SC),Ashok Kumar Rawat,Bharatiya Janata Party,"5,34,429",Neelu Satyarthi,Bahujan Samaj Party,"4,33,757","1,00,672",,Uttar Pradesh
448,33,Unnao,GEN,Sakshi Maharaj,Bharatiya Janata Party,"7,03,507",Arun Shankar Shukla,Samajwadi Party,"3,02,551","4,00,956",,Uttar Pradesh
449,34,Mohanlalganj,(SC),Kaushal Kishore,Bharatiya Janata Party,"6,29,748",C. L. Verma,Bahujan Samaj Party,"5,39,519","90,229",,Uttar Pradesh
450,35,Lucknow,GEN,Rajnath Singh,Bharatiya Janata Party,"6,33,026",Poonam Sinha,Samajwadi Party,"2,85,724","3,47,302",,Uttar Pradesh
451,36,Rae Bareli,GEN,Sonia Gandhi,INC,"5,34,918",Dinesh Pratap Singh,Bharatiya Janata Party,"3,67,740","1,67,178",,Uttar Pradesh
452,37,Amethi,GEN,Smriti Irani,Bharatiya Janata Party,"4,68,514",Rahul Gandhi,INC,"4,13,394","55,120",,Uttar Pradesh
453,38,Sultanpur,GEN,Maneka Gandhi,Bharatiya Janata Party,"4,59,196",Chandrabhadra Singh,Bahujan Samaj Party,"4,44,670","14,526",,Uttar Pradesh
454,39,Pratapgarh,GEN,Sangam Lal Gupta,Bharatiya Janata Party,"4,36,291",Ashok Tripathi,Bahujan Samaj Party,"3,18,539","1,17,752",,Uttar Pradesh
455,40,Farrukhabad,GEN,Mukesh Rajput,Bharatiya Janata Party,"5,69,880",Manoj Agarwal,Bahujan Samaj Party,"3,48,178","2,21,702",,Uttar Pradesh
456,41,Etawah,(SC),Ram Shankar Katheria,Bharatiya Janata Party,"5,22,119",Kamlesh Kumar Katheria,Samajwadi Party,"4,57,682","64,437",,Uttar Pradesh
457,42,Kannauj,GEN,Subrat Pathak,Bharatiya Janata Party,"5,63,087",Dimple Yadav,Samajwadi Party,"5,50,734","12,353",,Uttar Pradesh
458,43,Kanpur Urban,GEN,Satyadev Pachauri,Bharatiya Janata Party,"4,68,937",Sriprakash Jaiswal,INC,"3,13,003","1,55,934",,Uttar Pradesh
459,44,Akbarpur,GEN,Devendra Singh Bhole,Bharatiya Janata Party,"5,81,282",Nisha Sachan,Bahujan Samaj Party,"3,06,140","2,75,142",,Uttar Pradesh
460,45,Jalaun,(SC),Bhanu Pratap Singh Verma,Bharatiya Janata Party,"5,81,763",Ajay Singh 'Pankaj',Bahujan Samaj Party,"4,23,386","1,58,377",,Uttar Pradesh
461,46,Jhansi,GEN,Anurag Sharma,Bharatiya Janata Party,"8,09,272",Shyam Sundar Singh Yadav,Samajwadi Party,"4,43,589","3,65,683",,Uttar Pradesh
462,47,Hamirpur,GEN,Pushpendra Singh Chandel,Bharatiya Janata Party,"5,75,122",Dilip Kumar Singh,Bahujan Samaj Party,"3,26,470","2,48,652",,Uttar Pradesh
463,48,Banda,GEN,R. K. Singh Patel,Bharatiya Janata Party,"4,77,926",Shyama Charan Gupta,Samajwadi Party,"4,18,988","58,938",,Uttar Pradesh
464,49,Fatehpur,GEN,Niranjan Jyoti,Bharatiya Janata Party,"5,66,040",Sukhdev Prasad Verma,Bahujan Samaj Party,"3,67,835","1,98,205",,Uttar Pradesh
465,50,Kaushambi,(SC),Vinod Kumar Sonkar,Bharatiya Janata Party,"3,83,009",Indrajit Saroj,Samajwadi Party,"3,44,287","38,722",,Uttar Pradesh
466,51,Phulpur,GEN,Keshari Devi Patel,Bharatiya Janata Party,"5,44,701",Pandhari Yadav,Samajwadi Party,"3,72,733","1,71,968",,Uttar Pradesh
467,52,Allahabad,GEN,Rita Bahuguna Joshi,Bharatiya Janata Party,"4,94,454",Rajendra Patel,Samajwadi Party,"3,10,179","1,84,275",,Uttar Pradesh
468,53,Barabanki,(SC),Upendra Singh Rawat,Bharatiya Janata Party,"5,35,917",Ram Sagar Rawat,Samajwadi Party,"4,25,777","1,10,140",,Uttar Pradesh
469,54,Faizabad,GEN,Lallu Singh,Bharatiya Janata Party,"5,29,021",Anand Sen Yadav,Samajwadi Party,"4,63,544","65,477",,Uttar Pradesh
470,55,Ambedkar Nagar,GEN,Ritesh Pandey,Bahujan Samaj Party,"5,64,118",Mukut Bihari Verma,Bharatiya Janata Party,"4,68,238","95,880",,Uttar Pradesh
471,56,Bahraich,(SC),Akshaybara Lal Gaud,Bharatiya Janata Party,"5,25,982",Shabbir Balmiki,Samajwadi Party,"3,97,230","1,28,752",,Uttar Pradesh
472,57,Kaiserganj,GEN,Brij Bhushan Sharan Singh,Bharatiya Janata Party,"5,81,358",Chandradev Ram Yadav,Bahujan Samaj Party,"3,19,757","2,61,601",,Uttar Pradesh
473,58,Shrawasti,GEN,Ram Shiromani Verma,Bahujan Samaj Party,"4,41,771",Daddan Mishra,Bharatiya Janata Party,"4,36,451","5,320",,Uttar Pradesh
474,59,Gonda,GEN,Kirti Vardhan Singh,Bharatiya Janata Party,"5,08,190",Pandit Singh,Samajwadi Party,"3,41,830","1,66,360",,Uttar Pradesh
475,60,Domariyaganj,GEN,Jagdambika Pal,Bharatiya Janata Party,"4,92,253",Aftab Alam,Bahujan Samaj Party,"3,86,932","1,05,321",,Uttar Pradesh
476,61,Basti,GEN,Harish Dwivedi,Bharatiya Janata Party,"4,71,162",Ram Prasad Chaudhary,Bahujan Samaj Party,"4,40,808","30,354",,Uttar Pradesh
477,62,Sant Kabir Nagar,GEN,Praveen Kumar Nishad,Bharatiya Janata Party,"4,67,543",Bhishma Shankar Tiwari,Bahujan Samaj Party,"4,31,794","35,749",,Uttar Pradesh
478,63,Maharajganj,GEN,Pankaj Choudhary,Bharatiya Janata Party,"7,26,349",Akhilesh Kumar Singh,Samajwadi Party,"3,85,925","3,40,424",,Uttar Pradesh
479,64,Gorakhpur,GEN,Ravi Kishan,Bharatiya Janata Party,"7,17,122",Rambhual Nishad,Samajwadi Party,"4,15,458","3,01,664",,Uttar Pradesh
480,65,Kushi Nagar,GEN,Vijay Kumar Dubey,Bharatiya Janata Party,"5,97,039",Nathuni Prasad Kushwaha,Samajwadi Party,"2,59,479","3,37,560",,Uttar Pradesh
481,66,Deoria,GEN,Ramapati Ram Tripathi,Bharatiya Janata Party,"5,80,644",Binod Kumar Jaiswal,Bahujan Samaj Party,"3,30,713","2,49,931",,Uttar Pradesh
482,67,Bansgaon,(SC),Kamlesh Paswan,Bharatiya Janata Party,"5,46,673",Sadal Prasad,Bahujan Samaj Party,"3,93,205","1,53,468",,Uttar Pradesh
483,68,Lalganj,(SC),Sangeeta Azad,Bahujan Samaj Party,"5,18,820",Neelam Sonkar,Bharatiya Janata Party,"3,57,223","1,61,597",,Uttar Pradesh
484,69,Azamgarh,GEN,Akhilesh Yadav,Samajwadi Party,"6,21,578",Dinesh Lal Yadav 'Nirahua',Bharatiya Janata Party,"3,61,704","2,59,874",,Uttar Pradesh
485,70,Ghosi,GEN,Atul Rai,Bahujan Samaj Party,"5,73,829",Harinarayan Rajbhar,Bharatiya Janata Party,"4,51,261","1,22,568",,Uttar Pradesh
486,71,Salempur,GEN,Ravindra Kushawaha,Bharatiya Janata Party,"4,67,241",R. S. Kushwaha,Bahujan Samaj Party,"3,54,764","1,12,477",,Uttar Pradesh
487,72,Ballia,GEN,Virendra Singh Mast,Bharatiya Janata Party,"4,69,114",Sanatan Pandey,Samajwadi Party,"4,53,595","15,519",,Uttar Pradesh
488,73,Jaunpur,GEN,Shyam Singh Yadav,Bahujan Samaj Party,"5,21,128",Krishna Pratap,Bharatiya Janata Party,"4,40,192","80,936",,Uttar Pradesh
489,74,Machhlishahr,(SC),B. P. Saroj,Bharatiya Janata Party,"4,88,397",Tribhuvan Ram,Bahujan Samaj Party,"4,88,216",181,,Uttar Pradesh
490,75,Ghazipur,GEN,Afzal Ansari,Bahujan Samaj Party,"5,66,082",Manoj Sinha,Bharatiya Janata Party,"4,46,690","1,19,392",,Uttar Pradesh
491,76,Chandauli,GEN,Mahendra Nath Pandey,Bharatiya Janata Party,"5,10,733",Sanjay Singh Chauhan,Samajwadi Party,"4,96,774","13,959",,Uttar Pradesh
492,77,Varanasi,GEN,Narendra Modi,Bharatiya Janata Party,"6,74,664",Shalini Yadav,Samajwadi Party,"1,95,159","4,79,505",,Uttar Pradesh
493,78,Bhadohi,GEN,Ramesh Chand Bind,Bharatiya Janata Party,"5,10,029",Rangnath Mishra,Bahujan Samaj Party,"4,66,414","43,615",,Uttar Pradesh
494,79,Mirzapur,GEN,Anupriya Patel,Apna Dal (Sonelal),"5,91,564",Ram Charitra Nishad,Samajwadi Party,"3,59,556","2,32,008",,Uttar Pradesh
495,80,Robertsganj,(SC),Pakauri Lal,Apna Dal (Sonelal),"4,47,914",Bhai Lal,Samajwadi Party,"3,93,578","54,336",,Uttar Pradesh
496,1,Tehri Garhwal,GEN,Mala Rajya Laxmi Shah,BJP,"5,65,333",Pritam Singh,INC,"2,64,747","3,00,586",,Uttarakhand
