,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
61,20,Saran,GEN,Rajiv Pratap Rudy,Bharatiya Janata Party,"4,99,342",Chandrika Roy,Rashtriya Janata Dal,"3,60,913","1,38,429",,Bihar
62,21,Hajipur,(SC),Pashupati Kumar Paras,Lok Janshakti Party,"5,41,310",Shiv Chandra Ram,Rashtriya Janata Dal,"3,35,861","2,05,449",,Bihar
63,22,Ujiarpur,GEN,Nityanand Rai,Bharatiya Janata Party,"5,43,906",Upendra Kushwaha,Rashtriya Lok Samta Party,"2,66,628","2,77,278",,Bihar
64,23,Samastipur,(SC),Ram Chandra Paswan,Lok Janshakti Party,"5,62,443",Ashok Kumar,INC,"3,10,800","2,51,643",,Bihar
65,24,Begusarai,GEN,Giriraj Singh,Bharatiya Janata Party,"6,92,193",Kanhaiya Kumar,Communist Party of India,"2,69,976","4,22,217",,Bihar
66,25,Khagaria,GEN,Mehboob Ali Kaiser,Lok Janshakti Party,"5,10,193",Mukesh Sahani,Vikassheel Insaan Party,"2,61,623","2,48,570",,Bihar
67,26,Bhagalpur,GEN,Ajay Kumar Mandal,Janata Dal (United),"6,18,254",Shailesh Kumar Mandal,Rashtriya Janata Dal,"3,40,624","2,77,630",,Bihar
68,27,Banka,GEN,Giridhari Yadav,Janata Dal (United),"4,77,788",Jay Prakash Narayan Yadav,Rashtriya Janata Dal,"2,77,256","2,00,532",,Bihar
69,28,Munger,GEN,Rajiv Ranjan Singh,Janata Dal (United),"5,28,762",Nilam Devi,INC,"3,60,825","1,67,937",,Bihar
70,29,Nalanda,GEN,Kaushalendra Kumar,Janata Dal (United),"5,40,888",Ashok Kumar Azad,Hindustani Awam Morcha,"2,84,751","2,56,137",,Bihar
71,30,Patna Sahib,GEN,Ravi Shankar Prasad,Bharatiya Janata Party,"6,07,506",Shatrughan Sinha,INC,"3,22,849","2,84,657",,Bihar
72,31,Pataliputra,GEN,Ram Kripal Yadav,Bharatiya Janata Party,"5,09,557",Misa Bharti,Rashtriya Janata Dal,"4,70,236","39,321",,Bihar
73,32,Arrah,GEN,R. K. Singh,Bharatiya Janata Party,"5,66,480",Raju Yadav,Communist Party of India (Marxist-Leninist) (Liberation),"4,19,195","1,47,285",,Bihar
74,33,Buxar,GEN,Ashwini Kumar Choubey,Bharatiya Janata Party,"4,73,053",Jagadanand Singh,Rashtriya Janata Dal,"3,55,444","1,17,609",,Bihar
75,34,Sasaram,(SC),Chhedi Paswan,Bharatiya Janata Party,"4,94,800",Meira Kumar,INC,"3,29,055","1,65,745",,Bihar
76,35,Karakat,GEN,Mahabali Singh,Janata Dal (United),"3,98,408",Upendra Kushwaha,Rashtriya Lok Samta Party,"3,13,866","84,542",,Bihar
77,36,Jahanabad,GEN,Chandeshwar Prasad,Janata Dal (United),"3,35,584",Surendra Prasad Yadav,Rashtriya Janata Dal,"3,33,833","1,751",,Bihar
78,37,Aurangabad,GEN,Sushil Kumar Singh,Bharatiya Janata Party,"4,31,541",Upendra Prasad,Hindustani Awam Morcha,"3,58,934","72,607",,Maharashtra
79,38,Gaya,(SC),Vijay Kumar Manjhi,Janata Dal (United),"4,67,007",Jitan Ram Manjhi,Hindustani Awam Morcha,"3,14,581","1,52,426",,Bihar
