,Unnamed: 0,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes,State,Year
0,0,Srikakulam,GEN,Kinjarapu Ram Mohan Naidu,TDP,61,754328,Perada Tilak,YSRCP,34,426427,26,327901,Andhra Pradesh,2024
1,1,Vizianagaram,GEN,Appalanaidu Kalisetti,TDP,57,743113,Bellana Chandra Sekhar,YSRCP,38,493762,19,249351,Andhra Pradesh,2024
2,2,Visakhapatnam,GEN,Mathukumilli Bharat,TDP,65,907467,Botsa Jhansi Lakshmi,YSRCP,29,403220,36,504247,Andhra Pradesh,2024
3,3,Anakapalli,GEN,C. M. Ramesh,BJP,57,762069,Budi Mutyala Naidu,YSRCP,35,465539,22,296530,Andhra Pradesh,2024
4,4,Kakinada,GEN,Tangella Uday Srinivas,JSP,54,729699,Chalamalasetti Sunil,YSRCP,37,500208,17,229491,Andhra Pradesh,2024
5,5,Amalapuram,SC,Ganti Harish Madhur,TDP,61,796981,Rapaka Vara Prasada Rao,YSRCP,34,454785,26,342196,Andhra Pradesh,2024
6,6,Rajahmundry,GEN,Daggubati Purandeswari,BJP,54,726515,Guduri Srinivas,YSRCP,36,487376,18,239139,Andhra Pradesh,2024
7,7,Narsapuram,GEN,Bhupathi Raju Srinivasa Varma,BJP,57,707343,Guduri Umabala,YSRCP,34,430541,22,276802,Andhra Pradesh,2024
8,8,Eluru,GEN,Putta Mahesh Yadav,TDP,54,746351,Karumuri Sunilkumar Yadav,YSRCP,40,564494,13,181857,Andhra Pradesh,2024
9,9,Machilipatnam,GEN,Vallabhaneni Balashowry,JSP,55,724439,Simhadri Chandrasekhar Rao,YSRCP,38,501260,17,223179,Andhra Pradesh,2024
10,10,Vijayawada,GEN,Kesineni Sivanath,TDP,58,794154,Kesineni Srinivas,YSRCP,37,512069,20,282085,Andhra Pradesh,2024
11,11,Guntur,GEN,Chandra Sekhar Pemmasani,TDP,60,864948,Kilari Venkata Rosaiah,YSRCP,36,520253,24,344695,Andhra Pradesh,2024
12,12,Narasaraopet,GEN,Lavu Sri Krishna Devarayalu,TDP,53,807996,Poluboina Anilkumar Yadav,YSRCP,43,648267,10,159729,Andhra Pradesh,2024
13,13,Bapatla,SC,Krishna Prasad Tenneti,TDP,55,717493,Nandigam Suresh,YSRCP,39,509462,15,208031,Andhra Pradesh,2024
14,14,Ongole,GEN,Magunta Sreenivasulu Reddy,TDP,49,701894,Chevireddy Bhaskar Reddy,YSRCP,45,651695,3,50199,Andhra Pradesh,2024
15,15,Nandyal,GEN,Byreddy Shabari,TDP,49,701131,Pocha Brahmananda Reddy,YSRCP,41,589156,7,111975,Andhra Pradesh,2024
16,16,Kurnool,GEN,Bastipati Nagaraju Panchalingala,TDP,49,658914,B. Y. Ramaiah,YSRCP,41,547616,8,111298,Andhra Pradesh,2024
17,17,Anantapur,GEN,Ambica G Lakshminarayana Valmiki,TDP,53,768245,Malagundla Sankaranarayana,YSRCP,40,579690,13,188555,Andhra Pradesh,2024
18,18,Hindupur,GEN,B. K. Parthasarathi,TDP,51,725534,J. Shantha,YSRCP,41,593107,9,132427,Andhra Pradesh,2024
19,19,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,45,605143,Chadipiralla Bhupesh Reddy,TDP,41,542448,4,62995,Andhra Pradesh,2024
20,20,Nellore,GEN,Vemireddy Prabhakar Reddy,TDP,55,766202,V. Vijaysai Reddy,YSRCP,37,520300,17,245902,Andhra Pradesh,2024
21,21,Tirupati,SC,Maddila Gurumoorthy,YSRCP,46,632228,Velagapalli Varaprasad Rao,BJP,44,617659,1,14569,Andhra Pradesh,2024
22,22,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,48,644844,Kiran Kumar Reddy,BJP,42,568773,5,76071,Andhra Pradesh,2024
23,23,Chittoor,SC,Daggumalla Prasada Rao,TDP,54,778071,N. Reddeppa,YSRCP,39,557592,15,220479,Andhra Pradesh,2024
24,24,Arunachal East,ST,Tapir Gao,BJP,45,145581,Bosiram Siram,INC,35,115160,9,30421,Arunachal Pradesh,2024
25,25,Dhubri,GEN,Rakibul Hussain,INC,60,1471885,Mohammed Badruddin Ajmal,AIUDF,18,459409,41,1012476,Assam,2024
26,26,Barpeta,GEN,Phani Bhusan Choudhury,AGP,51,860113,Deep Bayan,INC,37,637762,13,222351,Assam,2024
27,27,Darrang–Udalguri,GEN,Dilip Saikia,BJP,47,868387,Madhab Rajbangshi,INC,29,539375,18,329012,Assam,2024
28,28,Guwahati,GEN,Bijuli Kalita Medhi,BJP,56,894887,Mira Borthakur Goswami,INC,40,643797,15,251090,Assam,2024
29,29,Diphu,ST,Amarsing Tisso,BJP,49,334620,J.I. Kathar,IND,27,187017,22,147603,Assam,2024
30,30,Karimganj,GEN,Kripanath Mallah,BJP,47,545093,Hafiz Rashid Ahmed Choudhury,INC,45,526733,1,18360,Assam,2024
31,31,Silchar,SC,Parimal Suklabaidya,BJP,59,652405,Surya Kanta Sarkar,INC,35,388094,24,264311,Assam,2024
32,32,Nowgong,GEN,Pradyut Bordoloi,INC,50,788850,Suresh Borah,BJP,37,576619,13,212231,Assam,2024
33,33,Kaziranga,GEN,Kamakhya Prasad Tasa,BJP,55,897043,Roselina Tirkey,INC,39,648096,15,248947,,2024
34,34,Sonitpur,GEN,Ranjit Dutta,BJP,60,775788,Premlal Ganju,INC,32,414380,28,361408,Assam,2024
35,35,Lakhimpur,GEN,Pradan Baruah,BJP,54,663122,Uday Shankar Hazarika,INC,38,461865,16,201257,Assam,2024
36,36,Dibrugarh,GEN,Sarbananda Sonowal,BJP,54,693762,Lurinjyoti Gogoi,AJP,32,414441,21,279321,Assam,2024
37,37,Jorhat,GEN,Gaurav Gogoi,INC,54,751771,Topon Kumar Gogoi,BJP,43,607378,10,144393,Assam,2024
38,38,Paschim Champaran,GEN,Sanjay Jaiswal,BJP,53,580421,Madan Mohan Tiwari,INC,40,443853,12,136568,Bihar,2024
39,39,Purvi Champaran,GEN,Radha Mohan Singh,BJP,50,542193,Dr. Rajesh Kumar,VIP,42,453906,8,88287,Bihar,2024
40,40,Sheohar,GEN,Lovely Anand,JD(U),45,476612,Ritu Jaiswal,RJD,42,447469,2,29143,Bihar,2024
41,41,Sitamarhi,GEN,Devesh Chandra Thakur,JD(U),47,515719,Arjun Ray,RJD,42,464363,4,51356,Bihar,2024
42,42,Madhubani,GEN,Ashok Kumar Yadav,BJP,53,553428,Mohammad Ali Ashraf Fatmi,RJD,39,401483,14,151945,Bihar,2024
43,43,Jhanjharpur,GEN,Ramprit Mandal,JD(U),48,533032,Suman Kumar Mahaseth,VIP,31,348863,16,184169,Bihar,2024
44,44,Supaul,GEN,Dileshwar Kamait,JD(U),48,595038,Chandrahas Chaupal,RJD,34,425235,13,169803,Bihar,2024
45,45,Araria,GEN,Pradeep Kumar Singh,BJP,47,600146,Mohammed Shahnawaz Alam,RJD,46,580052,1,20094,Bihar,2024
46,46,Kishanganj,GEN,Mohammad Jawed,INC,35,402850,Mujahid Alam,JD(U),29,343158,5,59692,Bihar,2024
47,47,Katihar,GEN,Tariq Anwar,INC,48,567092,Dulal Chandra Goswami,JD(U),44,517229,4,49863,Bihar,2024
48,48,Purnia,GEN,Pappu Yadav,Independent,47,567556,Santosh Kumar,JD(U),45,543709,1,23847,Bihar,2024
49,49,Madhepura,GEN,Dinesh Chandra Yadav,JD(U),52,640649,Da Kumar Chandradeep,RJD,38,466115,14,174534,Bihar,2024
50,50,Darbhanga,GEN,Gopal Jee Thakur,BJP,55,566630,Lalit Kumar Yadav,RJD,37,388474,17,178156,Bihar,2024
51,51,Muzaffarpur,GEN,Raj Bhushan Choudhary,BJP,55,619749,Ajay Nishad,INC,34,384822,21,234927,Bihar,2024
52,52,Vaishali,GEN,Veena Devi,LJP(RV),48,567043,Vijay Kumar Shukla,RJD,40,477409,7,89634,Bihar,2024
53,53,Gopalganj,SC,Alok Kumar Suman,JD(U),48,511866,Prem Nath Chanchal Alias Chanchal Paswan,VIP,36,384686,11,127180,Bihar,2024
54,54,Siwan,GEN,Vijay Lakshmi Devi,JD(U),38,386508,Hena Shahab,Independent,29,293651,9,92857,Bihar,2024
55,55,Maharajganj,GEN,Janardan Singh Sigriwal,BJP,52,529533,Aakash Kumar Singh,INC,42,426882,10,102651,Uttar Pradesh,2024
56,56,Saran,GEN,Rajiv Pratap Rudy,BJP,46,471752,Rohini Acharya,RJD,44,458091,1,13661,Bihar,2024
57,57,Hajipur,SC,Chirag Paswan,LJP(RV),53,615718,Shiv Chandra Ram,RJD,38,445613,14,170105,Bihar,2024
58,58,Ujiarpur,GEN,Nityanand Rai,BJP,49,515965,Alok Kumar Mehta,RJD,43,455863,5,60102,Bihar,2024
59,59,Samastipur,SC,Shambhavi,LJP(RV),52,579786,Sunny Hazari,INC,35,392535,17,187251,Bihar,2024
60,60,Begusarai,GEN,Giriraj Singh,BJP,50,649331,Abdhesh Kumar Roy,CPI,43,567851,6,81480,Bihar,2024
61,61,Khagaria,GEN,Rajesh Verma,LJP(RV),50,538657,Sanjay Kumar,CPI,35,377526,15,161131,Bihar,2024
62,62,Bhagalpur,GEN,Ajay Kumar Mandal,JD(U),50,536031,Ajeet Sharma,INC,40,431163,9,104868,Bihar,2024
63,63,Banka,GEN,Giridhari Yadav,JD(U),49,506678,Jai Prakash Narayan Yadav,RJD,39,402834,10,103834,Bihar,2024
64,64,Munger,GEN,Rajeev Ranjan Singh Alias Lalan Singh,JD(U),48,550146,Kumari Anita,RJD,41,469276,7,80870,Bihar,2024
65,65,Nalanda,GEN,Kaushalendra Kumar,JD(U),48,559422,Sandeep Saurav,CPI,34,390308,14,169114,Bihar,2024
66,66,Patna Sahib,GEN,Ravi Shankar Prasad,BJP,54,588270,Anshul Avijit,INC,40,434424,14,153846,Bihar,2024
67,67,Pataliputra,GEN,Misha Bharti,RJD,49,613283,Ram Kripal Yadav,BJP,42,528109,6,85174,Bihar,2024
68,68,Arrah,GEN,Sudama Prasad,CPI,48,529382,R. K. Singh,BJP,42,469574,5,59808,Bihar,2024
69,69,Buxar,GEN,Sudhakar Singh,RJD,40,438345,Mithlesh Tiwari,BJP,38,408254,2,30091,Bihar,2024
70,70,Sasaram,SC,Manoj Kumar,INC,46,513004,Shivesh Kumar,BJP,45,493847,1,19157,Bihar,2024
71,71,Karakat,GEN,Raja Ram Singh Kushwaha,CPI,36,380581,Pawan Singh,Independent,26,274723,10,105858,Bihar,2024
72,72,Jahanabad,GEN,Surendra Prasad Yadav,RJD,47,443035,Chandeshwar Prasad,JD(U),32,300444,15,142591,Bihar,2024
73,73,Aurangabad,GEN,Abhay Kumar Sinha,RJD,49,465567,Sushil Kumar Singh,BJP,40,386456,8,79111,Maharashtra,2024
74,74,Gaya,SC,Jitan Ram Manjhi,HAM(S),51,494960,Kumar Sarvjeet,RJD,40,393148,10,101812,Bihar,2024
75,75,Nawada,GEN,Vivek Thakur,BJP,47,410608,Shrawan Kumar,RJD,39,342938,7,67670,Bihar,2024
76,76,Jamui,SC,Arun Bharti,LJP(RV),51,509046,Archana Kumari,RJD,40,396564,11,112482,Bihar,2024
77,77,Raigarh,ST,Radheshyam Rathiya,BJP,55,808275,Menka Devi Singh,INC,39,567884,16,240391,Chhattisgarh,2024
78,78,Janjgir‑Champa,SC,Kamlesh Jangre,BJP,48,678199,Shivkumar Dahariya,INC,44,618199,4,60000,Chhattisgarh,2024
79,79,Korba,GEN,Jyotsna Mahant,INC,46,570182,Saroj Pandey,BJP,43,526899,3,43283,Chhattisgarh,2024
80,80,Bilaspur,GEN,Tokhan Sahu,BJP,53,724937,Devender Singh Yadav,INC,41,560379,12,164558,Chhattisgarh,2024
81,81,Rajnandgaon,GEN,Santosh Pandey,BJP,49,712057,Bhupesh Baghel,INC,46,667646,3,44411,Chhattisgarh,2024
82,82,Durg,GEN,Vijay Baghel,BJP,62,956497,Rajendra Sahu,INC,33,518271,28,438226,Chhattisgarh,2024
83,83,Raipur,GEN,Brijmohan Agrawal,BJP,66,1050351,Vikas Upadhyay,INC,29,475066,36,575285,Chhattisgarh,2024
84,84,Mahasamund,GEN,Roop Kumari Choudhary,BJP,53,703659,Tamradhwaj Sahu,INC,42,558203,10,145456,Chhattisgarh,2024
85,85,Bastar,ST,Mahesh Kashyap,BJP,45,458398,Kawasi Lakhma,INC,40,403153,5,55245,Chhattisgarh,2024
86,86,Kanker,ST,Bhojraj Nag,BJP,47,597624,Biresh Thakur,INC,47,595740,0,1884,Chhattisgarh,2024
87,87,Dadra And Nagar Haveli,ST,Delkar Kalaben Mohanbhai,BJP,58,121074,Ajit Ramjibhai Mahala,INC,30,63490,28,57584,Dadra and Nagar Haveli and Daman and Diu,2024
88,88,North East Delhi,GEN,Manoj Tiwari,BJP,53,824451,Kanhaiya Kumar,INC,44,685673,8,138778,Delhi,2024
89,89,East Delhi,GEN,Harsh Malhotra,BJP,52,664819,Kuldeep Kumar (Monu),AAP,45,571156,7,93663,Delhi,2024
90,90,New Delhi,GEN,Bansuri Swaraj,BJP,53,453185,Somnath Bharti,AAP,44,374815,9,78370,Delhi,2024
91,91,North West Delhi,SC,Yogender Chandoliya,BJP,58,866483,Udit Raj,INC,38,575634,19,290849,Delhi,2024
92,92,West Delhi,GEN,Kamaljeet Sehrawat,BJP,55,842658,Mahabal Mishra,AAP,42,643645,13,199013,Delhi,2024
93,93,South Delhi,GEN,Ramvir Singh Bidhuri,BJP,53,692832,Sahi Ram,AAP,43,568499,9,124333,Delhi,2024
94,94,South Goa,GEN,Captain Viriato Fernandes,INC,48,217836,Pallavi Shrinivas Dempo,BJP,45,204301,3,13535,Goa,2024
95,95,Banaskantha,GEN,Geniben Thakor,INC,48,671883,Rekhaben Hiteshbhai Chaudhary,BJP,46,641477,2,30406,Gujarat,2024
96,96,Patan,GEN,Bharatsinhji Dabhi,BJP,49,591947,Chandanji Thakor,INC,46,560071,2,31876,Gujarat,2024
97,97,Mahesana,GEN,Haribhai Patel,BJP,63,686406,Ramji Thakor (Palvi),INC,33,358360,30,328046,Gujarat,2024
98,98,Sabarkantha,GEN,Shobhnaben Mahendrasinh Baraiya,BJP,53,677318,Tushar Chaudhary,INC,40,521636,12,155682,Gujarat,2024
99,99,Gandhinagar,GEN,Amit Shah,BJP,76,1010972,Sonal Patel,INC,20,266256,56,744716,Gujarat,2024
100,100,Ahmedabad East,GEN,Hasmukh Patel,BJP,68,770459,Himmatsinh Patel,INC,27,308704,40,461755,Gujarat,2024
101,101,Ahmedabad West,SC,Dineshbhai Kodarbhai Makwana,BJP,63,611704,Bharat Makwana,INC,33,325267,29,286437,Gujarat,2024
102,102,Surendranagar,GEN,Chandubhai Chhaganbhai Shihora,BJP,59,669749,Rutvik Makwana,INC,36,408132,23,261617,Gujarat,2024
103,103,Rajkot,GEN,Parshottam Rupala,BJP,67,857984,Paresh Dhanani,INC,29,373724,38,484260,Gujarat,2024
104,104,Porbandar,GEN,Mansukh Mandaviya,BJP,68,633118,Lalitbhai Vasoya,INC,26,249758,41,383360,Gujarat,2024
105,105,Jamnagar,GEN,Poonamben Maadam,BJP,58,620049,J.P Marvia,INC,36,382041,22,238008,Gujarat,2024
106,106,Junagadh,GEN,Rajesh Chudasama,BJP,54,584049,Hirabhai Jotva,INC,41,448555,12,135494,Gujarat,2024
107,107,Amreli,GEN,Bharatbhai Manubhai Sutariya,BJP,66,580872,Jennyben Thummar,INC,29,259804,36,321068,Gujarat,2024
108,108,Bhavnagar,GEN,Nimuben Jayantibhai Bambhania,BJP,68,716883,Umesh Makwana,AAP,24,261594,43,455289,Gujarat,2024
109,109,Anand,GEN,Mitesh Rameshbhai Patel,BJP,52,612484,Amitbhai Chavda,INC,44,522545,7,89939,Gujarat,2024
110,110,Kheda,GEN,Devusinh Jesingbhai Chauhan,BJP,63,744435,Kalusinh Dabhi,INC,32,386677,30,357758,Gujarat,2024
111,111,Panchmahal,GEN,Rajpalsinh Mahendrasinh Jadhav,BJP,70,794579,Gulabsinh Chaudhan,INC,25,285237,45,509342,Gujarat,2024
112,112,Dahod,ST,Jasvantsinh Sumanbhai Bhabhor,BJP,61,688715,Prabhaben Taviyad,INC,31,355038,29,333677,Gujarat,2024
113,113,Vadodara,GEN,Hemang Yogeshchandra Joshi,BJP,72,873189,Jashpalsinh Padhiyar,INC,24,291063,48,582126,Gujarat,2024
114,114,Chhota Udaipur,ST,Jashubhai Bhilubhai Rathva,BJP,62,796589,Sukhrambhai Rathwa,INC,31,397812,31,398777,Gujarat,2024
115,115,Bharuch,GEN,Mansukhbhai Vasava,BJP,50,608157,Chaitar Vasava,AAP,43,522461,7,85696,Gujarat,2024
116,116,Bardoli,ST,Parbhubhai Vasava,BJP,57,763950,Siddharth Chaudhary,INC,39,533697,17,230253,Gujarat,2024
117,117,Navsari,GEN,C. R. Patil,BJP,77,1031065,Naishadh Desai,INC,19,257514,57,773551,Gujarat,2024
118,118,Valsad,ST,Dhaval Laxmanbhai Patel,BJP,56,764226,Anantbhai Patel,INC,40,553522,15,210704,Gujarat,2024
119,119,Kurukshetra,GEN,Naveen Jindal,BJP,44,542175,Dr. Sushil Gupta,AAP,42,513154,2,29021,Haryana,2024
120,120,Sirsa,SC,Selja Kumari,INC,54,733823,Ashok Tanwar,BJP,34,465326,19,268497,Haryana,2024
121,121,Hisar,GEN,Jai Parkash,INC,48,570424,Ranjit Singh Chautala,BJP,43,507043,5,63381,Haryana,2024
122,122,Karnal,GEN,Manohar Lal Khattar,BJP,54,739285,Divyanshu Budhiraja,INC,37,506708,17,232577,Haryana,2024
123,123,Sonipat,GEN,Satpal Brahamchari,INC,48,548682,Mohan Lal Badoli,BJP,46,526866,1,21816,Haryana,2024
124,124,Rohtak,GEN,Deepender Singh Hooda,INC,62,783578,Dr. Arvind Kumar Sharma,BJP,35,438280,27,345298,Haryana,2024
125,125,Bhiwani‑Mahendragarh,GEN,Dharambir Singh Chaudhary,BJP,49,588664,Rao Dan Singh,INC,46,547154,3,41510,Haryana,2024
126,126,Gurgaon,GEN,Rao Inderjit Singh,BJP,50,808336,Raj Babbar,INC,45,733257,4,75079,Haryana,2024
127,127,Faridabad,GEN,Krishan Pal Gurjar,BJP,53,788569,Mahender Pratap Singh,INC,41,615655,11,172914,Haryana,2024
128,128,Mandi,GEN,Kangana Ranaut,BJP,52,537022,Vikramaditya Singh,INC,45,462267,7,74755,Himachal Pradesh,2024
129,129,Hamirpur,GEN,Anurag Thakur,BJP,57,607068,Satpal Raizada,INC,40,424711,17,182357,Uttar Pradesh,2024
130,130,Shimla,SC,Suresh Kumar Kashyap,BJP,53,519748,Vinod Sultanpuri,INC,44,428297,9,91451,Himachal Pradesh,2024
131,131,Srinagar,GEN,Aga Syed Ruhullah Mehdi,JKNC,52,356866,Waheed Ur Rehman Para,JKPDP,24,168450,27,188416,Jammu And Kashmir,2024
132,132,Anantnag‑Rajouri,GEN,Mian Altaf Ahmed Larvi,JKNC,50,521836,Mehbooba Mufti,JKPDP,23,240042,27,281794,Jammu And Kashmir,2024
133,133,Udhampur,GEN,Dr. Jitendra Singh,BJP,51,571076,Chaudhary Lal Singh,INC,40,446703,11,124373,Jammu And Kashmir,2024
134,134,Jammu,GEN,Jugal Kishore Sharma,BJP,52,687588,Raman Bhalla,INC,42,552090,10,135498,Jammu And Kashmir,2024
135,135,Dumka,ST,Nalin Soren,JMM,46,547370,Sita Murmu,BJP,44,524843,1,22527,Jharkhand,2024
136,136,Godda,GEN,Nishikant Dubey,BJP,49,693140,Pradeep Yadav,INC,42,591327,7,101813,Jharkhand,2024
137,137,Chatra,GEN,Kali Charan Singh,BJP,52,574556,Krishna Nand Tripathy,INC,32,353597,17,220959,Jharkhand,2024
138,138,Kodarma,GEN,Annpurna Devi,BJP,57,791657,Vinod Kumar Singh,CPI,30,414643,27,377014,Jharkhand,2024
139,139,Giridih,GEN,Chandra Prakash Choudhary,AJSU,35,451139,Mathura Prasad Mahato,JMM,29,370259,6,80880,Jharkhand,2024
140,140,Dhanbad,GEN,Dulu Mahato,BJP,55,789172,Anupama Singh,INC,32,457589,23,331583,Jharkhand,2024
141,141,Ranchi,GEN,Sanjay Seth,BJP,45,664732,Yashaswini Sahay,INC,37,544220,8,120512,Jharkhand,2024
142,142,Jamshedpur,GEN,Bidyut Baran Mahato,BJP,56,726174,Samir Kumar Mohanty,JMM,36,466392,20,259782,Jharkhand,2024
143,143,Singhbhum,SC,Joba Majhi,JMM,51,520164,Geeta Kora,BJP,34,351762,16,168402,Jharkhand,2024
144,144,Khunti,ST,Kali Charan Munda,INC,54,511647,Arjun Munda,BJP,38,361972,15,149675,Jharkhand,2024
145,145,Lohardaga,ST,Sukhdeo Bhagat,INC,49,483038,Samir Oraon,BJP,35,343900,14,139138,Jharkhand,2024
146,146,Palamu,SC,Vishnu Dayal Ram,BJP,55,770362,Mamata Bhuiyan,RJD,34,481555,20,288807,Jharkhand,2024
147,147,Hazaribagh,GEN,Manish Jaiswal,BJP,51,654613,Jai Prakash Bhai Patel,INC,29,377927,21,276686,Jharkhand,2024
148,148,Belgaum,GEN,Jagadish Shettar,BJP,55,762029,Mrinal Hebbalkar,INC,42,583592,12,178437,Karnataka,2024
149,149,Bagalkot,GEN,Gaddigoudar Parvatagouda Chandanagouda,BJP,50,671039,Samyukta Shivanand Patil,INC,45,602640,5,68399,Karnataka,2024
150,150,Bijapur,SC,Ramesh Jigajinagi,BJP,51,672781,Raju Alagur,INC,45,595552,5,77229,Karnataka,2024
151,151,Gulbarga,SC,Radhakrishna Doddamani,INC,49,652321,Umesh. G. Jadhav,BJP,47,625116,2,27205,Karnataka,2024
152,152,Raichur,ST,G. Kumar Naik,INC,51,670966,Raja Amareshwara Naik,BJP,45,591185,6,79781,Karnataka,2024
153,153,Bidar,GEN,Sagar Eshwar Khandre,INC,53,666317,Bhagwant Khuba,BJP,43,537442,10,128875,Karnataka,2024
154,154,Koppal,GEN,K. Rajashekhar Basavaraj Hitnal,INC,49,663511,Basavaraj K. Sharanappa,BJP,46,617154,3,46357,Karnataka,2024
155,155,Bellary,ST,E. Tukaram,INC,52,730845,B. Sreeramulu,BJP,45,631853,7,98992,Karnataka,2024
156,156,Haveri,GEN,Basavaraj Bommai,BJP,50,705538,Anandswamy Gaddadevarmath,INC,47,662025,3,43513,Karnataka,2024
157,157,Dharwad,GEN,Prahlad Joshi,BJP,52,716231,Vinod Asooti,INC,45,618907,7,97324,Karnataka,2024
158,158,Uttara Kannada,GEN,Vishweshwar Hegde Kageri,BJP,61,782495,Anjali Nimbalkar,INC,35,445067,26,337428,Karnataka,2024
159,159,Davanagere,GEN,Prabha Mallikarjun,INC,47,633059,Gayithri Siddeshwara,BJP,45,606965,1,26094,Karnataka,2024
160,160,Shimoga,GEN,B. Y. Raghavendra,BJP,56,778721,Geetha Shivarajkumar,INC,38,535006,17,243715,Karnataka,2024
161,161,Udupi Chikmagalur,GEN,Kota Srinivas Poojary,BJP,59,732234,K. Jayaprakash Hegde,INC,38,473059,21,259175,Karnataka,2024
162,162,Hassan,GEN,Shreyas M. Patel,INC,49,672988,Prajwal Revanna,JD(S),46,630339,3,42649,Karnataka,2024
163,163,Dakshina Kannada,GEN,Brijesh Chowta,BJP,53,764132,Padmaraj R. Poojary,INC,43,614924,10,149208,Karnataka,2024
164,164,Chitradurga,SC,Govind Makthappa Karjol,BJP,50,684890,B. N. Chandrappa,INC,46,636769,3,48121,Karnataka,2024
165,165,Tumkur,GEN,V. Somanna,BJP,55,720946,S. P. Muddahanumegowda,INC,41,545352,13,175594,Karnataka,2024
166,166,Mandya,GEN,H. D. Kumaraswamy,JD(S),58,851881,Venkataramane Gowda,INC,38,567261,19,284620,Karnataka,2024
167,167,Mysore,GEN,Yaduveer Krishnadatta Chamaraja Wadiyar,BJP,53,795503,M. Lakshmana,INC,44,656241,9,139262,Karnataka,2024
168,168,Chamarajanagar,SC,Sunil Bose,INC,54,751671,Balaraj S.,BJP,41,562965,13,188706,Karnataka,2024
169,169,Bangalore Rural,GEN,C. N. Manjunath,BJP,56,1079002,D. K. Suresh,INC,42,809355,14,269647,Karnataka,2024
170,170,Bangalore North,GEN,Shobha Karandlaje,BJP,56,986049,M. V. Rajeev Gowda,INC,41,726573,14,259476,Karnataka,2024
171,171,Bangalore Central,GEN,P. C. Mohan,BJP,50,658915,Mansoor Ali Khan,INC,47,626208,2,32707,Karnataka,2024
172,172,Bangalore South,GEN,Tejaswi Surya,BJP,60,750830,Sowmya Reddy,INC,37,473747,22,277083,Karnataka,2024
173,173,Chikballapur,GEN,K. Sudhakar,BJP,53,822619,M. S. Raksha Ramaiah,INC,43,659159,10,163460,Karnataka,2024
174,174,Kolar,GEN,M. Mallesh Babu,JD(S),51,691481,K. V. Gowtham,INC,45,620093,5,71388,Karnataka,2024
175,175,Kannur,GEN,K. Sudhakaran,INC,48,518524,M. V. Jayarajan,CPI,38,409542,10,108982,Kerala,2024
176,176,Vatakara,GEN,Shafi Parambil,INC,49,557528,K. K. Shailaja,CPI,39,443022,10,114506,Kerala,2024
177,177,Wayanad,GEN,Rahul Gandhi,INC,59,647445,Annie Raja,CPI,26,283023,33,364422,Kerala,2024
178,178,Kozhikode,GEN,M. K. Raghavan,INC,47,520421,Elamaram Kareem,CPI,34,374245,13,146176,Kerala,2024
179,179,Malappuram,GEN,E. T. Mohammed Basheer,IUML,59,644006,V Vaseef,CPI,31,343888,27,300118,Kerala,2024
180,180,Ponnani,GEN,M. P. Abdussamad Samadani,IUML,54,562516,K.S. Hamza,CPI,31,326756,22,235760,Kerala,2024
181,181,Palakkad,GEN,V. K. Sreekandan,INC,40,421169,A. Vijayaraghavan,CPI,33,345886,7,75283,Kerala,2024
182,182,Alathur,SC,K. Radhakrishnan,CPI,40,403447,Ramya Haridas,INC,38,383336,2,20111,Kerala,2024
183,183,Thrissur,GEN,Suresh Gopi,BJP,37,412338,V. S. Sunilkumar,CPI,30,337652,6,74686,Kerala,2024
184,184,Chalakudy,GEN,Benny Behanan,INC,41,394171,C. Raveendranath,CPI,34,330417,6,63754,Kerala,2024
185,185,Ernakulam,GEN,Hibi Eden,INC,52,482317,K. J. Shine,CPI,25,231932,27,250385,Kerala,2024
186,186,Idukki,GEN,Dean Kuriakose,INC,51,432372,Joice George,CPI,35,298645,15,133727,Kerala,2024
187,187,Kottayam,GEN,K. Francis George,KC(M),43,364631,Thomas Chazhikadan,KC(M),33,277365,10,87266,Kerala,2024
188,188,Alappuzha,GEN,K. C. Venugopal,INC,38,404560,A. M. Ariff,CPI,32,341047,6,63513,Kerala,2024
189,189,Mavelikkara,SC,Kodikunnil Suresh,INC,41,369516,Arun Kumar C. A.,CPI,40,358648,1,10868,Kerala,2024
190,190,Pathanamthitta,GEN,Anto Antony,INC,39,367623,T. M. Thomas Issac,CPI,32,301504,7,66119,Kerala,2024
191,191,Kollam,GEN,N. K. Premachandran,RSP,48,443628,M. Mukesh,CPI,32,293326,16,150302,Kerala,2024
192,192,Attingal,GEN,Adoor Prakash,INC,33,328051,V. Joy,CPI,33,327367,0,684,Kerala,2024
193,193,Thiruvananthapuram,GEN,Shashi Tharoor,INC,37,358155,Rajeev Chandrasekhar,BJP,35,342078,1,16077,Kerala,2024
194,194,Bhind,SC,Sandhya Ray,BJP,51,537065,Phool Singh Baraiya,INC,45,472225,6,64840,Madhya Pradesh,2024
195,195,Gwalior,GEN,Bharat Singh Kushwah,BJP,49,671535,Praveen Pathak,INC,44,601325,5,70210,Madhya Pradesh,2024
196,196,Guna,GEN,Jyotiraditya Scindia,BJP,67,923302,Yadvendra Rao Deshraj Singh,INC,27,382373,39,540929,Madhya Pradesh,2024
