,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
405,405,Telangana,9,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,513868,Dr.Bhagavanth Rao,BJP,311414,202454,2014
406,406,Telangana,10,Chelvella,GEN,Konda Vishweshwar Reddy,TRS,435077,Patlolla Kartik Reddy,INC,362054,73023,2014
407,407,Telangana,11,Mahabubnagar,GEN,Ap Jithender Reddy,TRS,334228,Jaipal Reddy Sudini,INC,331638,2590,2014
408,408,Telangana,12,Nagarkurnool,SC,Yellaiah Nandi,INC,420075,Dr. Manda Jagannath,TRS,403399,16676,2014
409,409,Telangana,13,Nalgonda,GEN,Gutha Sukhender Reddy,INC,472093,Tera Chinnapa Reddy,TDP,278937,193156,2014
410,410,Telangana,14,Bhongir,GEN,Dr. Boora Narsaiah Goud,TRS,448245,Komatireddy Rajgopal Reddy,INC,417751,30494,2014
411,411,Telangana,15,Warangal,SC,Kadiyam Srihari,TRS,661639,Rajaiah Siricilla,INC,269065,392574,2014
412,412,Telangana,16,Mahabubabad,ST,Prof. Azmeera Seetaram Naik,TRS,320569,P. Balram,INC,285577,34992,2014
413,413,Telangana,17,Khammam,GEN,Ponguleti Srinivasa Reddy,YSRC,421957,Nama Nageswara Rao,TDP,409983,11974,2014
414,414,Tripura,1,Tripura West,GEN,Sankar Prasad Datta,CPM,671665,Arunoday Saha,INC,168179,503486,2014
415,415,Tripura,2,Tripura East,ST,Jitendera Choudhury,CPM,623771,Sachitra Debbarma,INC,139413,484358,2014
416,416,Uttar Pradesh,1,Saharanpur,GEN,Raghav Lakhanpal,BJP,472999,Imran Masood,INC,407909,65090,2014
417,417,Uttar Pradesh,2,Kairana,GEN,Hukum Singh,BJP,565909,Nahid Hasan,SP,329081,236828,2014
418,418,Uttar Pradesh,3,Muzaffarnagar,GEN,(Dr.) Sanjeev Kumar Balyan,BJP,653391,Kadir Rana,BSP,252241,401150,2014
419,419,Uttar Pradesh,4,Bijnor,GEN,Kunwar Bhartendra,BJP,486913,Shahnawaz Rana,SP,281139,205774,2014
420,420,Uttar Pradesh,5,Nagina,SC,Yashwant Singh,BJP,367825,Yashvir Singh,SP,275435,92390,2014
421,421,Uttar Pradesh,6,Moradabad,GEN,Kunwer Sarvesh Kumar,BJP,485224,Dr S T Hasan,SP,397720,87504,2014
422,422,Uttar Pradesh,7,Rampur,GEN,Dr. Nepal Singh,BJP,358616,Naseer Ahmad Khan,SP,335181,23435,2014
423,423,Uttar Pradesh,8,Sambhal,GEN,Satyapal Singh,BJP,360242,Dr Shafiq Ur Rahman Barq,SP,355068,5174,2014
424,424,Uttar Pradesh,9,Amroha,GEN,Kanwar Singh Tanwar,BJP,528880,Humera Akhtar,SP,370666,158214,2014
425,425,Uttar Pradesh,10,Meerut,GEN,Rajendra Agarwal,BJP,532981,Mohd.Shahid Akhlak,BSP,300655,232326,2014
426,426,Uttar Pradesh,11,Baghpat,GEN,Dr. Satya Pal Singh,BJP,423475,Ghulam Mohammed,SP,213609,209866,2014
427,427,Uttar Pradesh,12,Ghaziabad,GEN,Vijay Kumar Singh,BJP,758482,Raj Babbar,INC,191222,567260,2014
428,428,Uttar Pradesh,13,Gautam Buddha Nagar,GEN,Dr.Mahesh Sharma,BJP,599702,Narendra Bhati,SP,319490,280212,2014
429,429,Uttar Pradesh,14,Bulandshahr,SC,Bhola Singh,BJP,604449,Pradeep Kumar Jatav,BSP,182476,421973,2014
430,430,Uttar Pradesh,15,Aligarh,GEN,Satish Kumar,BJP,514622,Dr. Arvind Kumar Singh,BSP,227886,286736,2014
431,431,Uttar Pradesh,16,Hathras,SC,Rajesh Kumar Diwaker,BJP,544277,Manoj Kumar Soni,BSP,217891,326386,2014
432,432,Uttar Pradesh,17,Mathura,GEN,Hema Malini Dharmendra,BJP,574633,Jayant Chaudhary,RLD,243890,330743,2014
433,433,Uttar Pradesh,18,Agra,SC,Dr. Ram Shankar Katheria,BJP,583716,Narayan Singh Suman,BSP,283453,300263,2014
434,434,Uttar Pradesh,19,Fatehpur Sikri,GEN,Babulal,BJP,426589,Seema Upadhyay,BSP,253483,173106,2014
435,435,Uttar Pradesh,20,Firozabad,GEN,Akshay Yadav,SP,534583,Prof. S.P. Singh Baghel,BJP,420524,114059,2014
436,436,Uttar Pradesh,21,Mainpuri,GEN,Tej Pratap Singh Yadav,SP,653686,Prem Singh Shakya,BJP,332537,321149,2014
437,437,Uttar Pradesh,22,Etah,GEN,Rajveer Singh (Raju Bhaiya),BJP,474978,Ku. Devendra Singh Yadav,SP,273977,201001,2014
438,438,Uttar Pradesh,23,Badaun,GEN,Dharmendra Yadav,SP,498378,Vagish Pathak,BJP,332031,166347,2014
439,439,Uttar Pradesh,24,Aonla,GEN,Dharmendra Kumar,BJP,409907,Kunwar Sarvraj Singh,SP,271478,138429,2014
440,440,Uttar Pradesh,25,Bareilly,GEN,Santosh Kumar Gangwar,BJP,518258,Ayesha Islam,SP,277573,240685,2014
441,441,Uttar Pradesh,26,Pilibhit,GEN,Maneka Sanjay Gandhi,BJP,546934,Budhsen Verma,SP,239882,307052,2014
442,442,Uttar Pradesh,27,Shahjahanpur,SC,Krishna Raj,BJP,525132,Umed Singh Kashyap,BSP,289603,235529,2014
443,443,Uttar Pradesh,28,Kheri,GEN,Ajay Kumar,BJP,398578,Arvind Giri,BSP,288304,110274,2014
444,444,Uttar Pradesh,29,Dhaurahra,GEN,Rekha,BJP,360357,Daud Ahmad,BSP,234682,125675,2014
445,445,Uttar Pradesh,30,Sitapur,GEN,Rajesh Verma,BJP,417546,Kaiser Jahan,BSP,366519,51027,2014
446,446,Uttar Pradesh,31,Hardoi,SC,Anshul Verma,BJP,360501,Shive Prasad Verma,BSP,279158,81343,2014
447,447,Uttar Pradesh,32,Misrikh,SC,Anju Bala,BJP,412575,Ashok Kumar Rawat,BSP,325212,87363,2014
448,448,Uttar Pradesh,33,Unnao,GEN,Swami Sachchidanand Hari Sakshi,BJP,518834,Arun Shankar Shukla,SP,208661,310173,2014
449,449,Uttar Pradesh,34,Mohanlalganj,SC,Kaushal Kishore,BJP,455274,R.K Chaudhary,BSP,309858,145416,2014
450,450,Uttar Pradesh,35,Lucknow,GEN,Raj Nath Singh,BJP,561106,Prof. Rita Bahuguna Joshi,INC,288357,272749,2014
451,451,Uttar Pradesh,36,Rae Bareli,GEN,Sonia Gandhi,INC,526434,Ajay Agrawal,BJP,173721,352713,2014
452,452,Uttar Pradesh,37,Amethi,GEN,Rahul Gandhi,INC,408651,Smriti Zubin Irani,BJP,300748,107903,2014
453,453,Uttar Pradesh,38,Sultanpur,GEN,Feroze Varun Gandhi,BJP,410348,Pawan Pandey,BSP,231446,178902,2014
454,454,Uttar Pradesh,39,Pratapgarh,GEN,Kuwar Harivansh Singh,AD,375789,Asif Nizamuddin Siddique,BSP,207567,168222,2014
455,455,Uttar Pradesh,40,Farrukhabad,GEN,Mukesh Rajput,BJP,406195,Rameshwar Singh Yadav,SP,255693,150502,2014
456,456,Uttar Pradesh,41,Etawah,SC,Ashok Kumar Doharey,BJP,439646,Premdas Kateriya,SP,266700,172946,2014
457,457,Uttar Pradesh,42,Kannauj,GEN,Dimple Yadav,SP,489164,Subrat Pathak,BJP,469257,19907,2014
458,458,Uttar Pradesh,43,Kanpur,GEN,Dr.Murli Manohar Joshi,BJP,474712,Sriprakash Jaiswal,INC,251766,222946,2014
459,459,Uttar Pradesh,44,Akbarpur,GEN,Devendra Singh (Bhole Singh),BJP,481584,Anil Shukla Warsi,BSP,202587,278997,2014
460,460,Uttar Pradesh,45,Jalaun,SC,Bhanu Pratap Singh Verma,BJP,548631,Brijlal Khabri,BSP,261429,287202,2014
461,461,Uttar Pradesh,46,Jhansi,GEN,Uma Bharti,BJP,575889,Dr. Chandrapal Singh Yadav,SP,385422,190467,2014
462,462,Uttar Pradesh,47,Hamirpur,GEN,Kunwar Pushpendra Singh Chandel,BJP,453884,Bishambhar Prasad Nishad,SP,187096,266788,2014
463,463,Uttar Pradesh,48,Banda,GEN,Bhairon Prasad Mishra,BJP,342066,R. K. Singh Patel,BSP,226278,115788,2014
464,464,Uttar Pradesh,49,Fatehpur,GEN,Sadhavi Niranjan Jyoti,BJP,485994,Afzal Siddiqui,BSP,298788,187206,2014
465,465,Uttar Pradesh,50,Kaushambi,SC,Vinod Kumar Sonkar,BJP,331593,Shailendra Kumar,SP,288746,42847,2014
466,466,Uttar Pradesh,51,Phulpur,GEN,Keshav Prasad Maurya,BJP,503564,Dharam Raj Singh Patel,SP,195256,308308,2014
467,467,Uttar Pradesh,52,Allahabad,GEN,Shyama Charan Gupta,BJP,313772,Kunwar Rewati Raman Singh Alias Mani,SP,251763,62009,2014
468,468,Uttar Pradesh,53,Barabanki,SC,Priyanka Singh Rawat,BJP,454214,P. L. Punia,INC,242336,211878,2014
469,469,Uttar Pradesh,54,Faizabad,GEN,Lallu Singh,BJP,491761,Mitrasen Yadav,SP,208986,282775,2014
470,470,Uttar Pradesh,55,Ambedkar Nagar,GEN,Hari Om Pandey,BJP,432104,Rakesh Pandey,BSP,292675,139429,2014
471,471,Uttar Pradesh,56,Bahraich,SC,Sadhvi Savitri Bai Foole,BJP,432392,Shabbir Ahmad,SP,336747,95645,2014
472,472,Uttar Pradesh,57,Kaiserganj,GEN,Brij Bhusan Sharan Singh,BJP,381500,Vinod Kumar Alias Pandit Singh,SP,303282,78218,2014
473,473,Uttar Pradesh,58,Shravasti,GEN,Daddan Mishra,BJP,345964,Atiq Ahmad,SP,260051,85913,2014
474,474,Uttar Pradesh,59,Gonda,GEN,Kirti Vardhan Singh,BJP,359643,Nandita Shukla,SP,199227,160416,2014
475,475,Uttar Pradesh,60,Domariyaganj,GEN,Jagdambika Pal,BJP,298845,Muhammad Muqeem,BSP,195257,103588,2014
476,476,Uttar Pradesh,61,Basti,GEN,Harish Chandra Alias Harish Dwivedi,BJP,357680,Brij Kishor Singh (Dimpal),SP,324118,33562,2014
477,477,Uttar Pradesh,62,Sant Kabir Nagar,GEN,Sharad Tripathi,BJP,348892,Bhism Shankar Alias Kushal Tiwari,BSP,250914,97978,2014
478,478,Uttar Pradesh,63,Maharajganj,GEN,Pankaj,BJP,471542,Kashi Nath Shukla,BSP,231084,240458,2014
479,479,Uttar Pradesh,64,Gorakhpur,GEN,Adityanath,BJP,539127,Rajmati Nishad,SP,226344,312783,2014
480,480,Uttar Pradesh,65,Kushi Nagar,GEN,Rajesh Pandey Urf Guddu,BJP,370051,Kunwar Ratanjit Pratap Narain Singh,INC,284511,85540,2014
481,481,Uttar Pradesh,66,Deoria,GEN,Kalraj Mishra,BJP,496500,Niyaj Ahmad,BSP,231114,265386,2014
482,482,Uttar Pradesh,67,Bansgaon,SC,Kamlesh Paswan,BJP,417959,Sadal Prasad,BSP,228443,189516,2014
483,483,Uttar Pradesh,68,Lalganj,SC,Neelam Sonkar,BJP,324016,Bechai Saroj,SP,260930,63086,2014
484,484,Uttar Pradesh,69,Azamgarh,GEN,Mulayam Singh Yadav,SP,340306,Ramakant Yadav,BJP,277102,63204,2014
485,485,Uttar Pradesh,70,Ghosi,GEN,Harinarayan Rajbhar,BJP,379797,Dara Singh Chauhan,BSP,233782,146015,2014
486,486,Uttar Pradesh,71,Salempur,GEN,Ravindra Kushawaha,BJP,392213,Ravi Shanker Singh (Pappu),BSP,159871,232342,2014
487,487,Uttar Pradesh,72,Ballia,GEN,Bharat Singh,BJP,359758,Neeraj Shekhar,SP,220324,139434,2014
488,488,Uttar Pradesh,73,Jaunpur,GEN,Krishna Pratap (K.P.),BJP,367149,Subhash Pandey,BSP,220839,146310,2014
489,489,Uttar Pradesh,74,Machhlishahr,SC,Ram Charitra Nishad,BJP,438210,Bholanath Alias B.P. Saroj,BSP,266055,172155,2014
490,490,Uttar Pradesh,75,Ghazipur,GEN,Manoj Sinha,BJP,306929,Smt Shivkanya Kushwaha,SP,274477,32452,2014
491,491,Uttar Pradesh,76,Chandauli,GEN,Dr Mahendra Nath Pandey,BJP,414135,Anil Kumar Maurya,BSP,257379,156756,2014
492,492,Uttar Pradesh,77,Varanasi,GEN,Narendra Modi,BJP,581022,Arvind Kejriwal,AAP,209238,371784,2014
493,493,Uttar Pradesh,78,Bhadohi,GEN,Virendra Singh,BJP,403544,Rakesh Dhar Tripathi,BSP,245505,158039,2014
494,494,Uttar Pradesh,79,Mirzapur,GEN,Anupriya Singh Patel,AD,436536,Samudra Bind,BSP,217457,219079,2014
495,495,Uttar Pradesh,80,Robertsganj,SC,Chhotelal,BJP,378211,Sharada Prasad,BSP,187725,190486,2014
496,496,Uttarakhand,1,Tehri Garhwal,GEN,Mala Rajya Laxmi Shah,BJP,446733,Saket Bahuguna,INC,254230,192503,2014
497,497,Uttarakhand,2,Garhwal,GEN,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),BJP,405690,(Dr) Harak Singh Rawat,INC,221164,184526,2014
498,498,Uttarakhand,3,Almora,SC,Ajay Tamta,BJP,348186,Pradeep Tamta,INC,252496,95690,2014
499,499,Uttarakhand,4,Nainital-Udhamsingh Nagar,GEN,Bhagat Singh Koshyari,BJP,636769,K.C.Singh Baba,INC,352052,284717,2014
500,500,Uttarakhand,5,Hardwar,GEN,Ramesh Pokhriyal Nishank,BJP,592320,Renuka Rawat,INC,414498,177822,2014
501,501,West Bengal,1,Cooch Behar,SC,Renuka Sinha,AITC,526499,Dipak Kumar Roy,AIFB,439392,87107,2014
502,502,West Bengal,2,Alipurduars,SC,Dasrath Tirkey,AITC,362453,Manohar Tirkey,RSP,341056,21397,2014
503,503,West Bengal,3,Jalpaiguri,SC,Bijoy Chandra Barman,AITC,494773,Mahendra Kumar Roy,CPM,425167,69606,2014
504,504,West Bengal,4,Darjeeling,GEN,S.S.Ahluwalia,BJP,488257,Bhai Chung Bhutia,AITC,291018,197239,2014
505,505,West Bengal,5,Raiganj,GEN,Md. Salim,CPM,317515,Deepa Dasmunsi,INC,315881,1634,2014
506,506,West Bengal,6,Balurghat,GEN,Arpita Ghosh,AITC,409641,Bimalendu Sarkar (Bimal),RSP,302677,106964,2014
507,507,West Bengal,7,Maldaha Uttar,GEN,Mausam Noor,INC,388609,Khagen Murmu,CPM,322904,65705,2014
508,508,West Bengal,8,Maldaha Dakshin,GEN,Abu Hasem Khan Chowdhury,INC,380291,Bisnu Pada Roy,BJP,216180,164111,2014
509,509,West Bengal,9,Jangipur,GEN,Abhijit Mukherjee,INC,378201,Muzaffar Hossain,CPM,370040,8161,2014
510,510,West Bengal,10,Baharampur,GEN,Adhir Ranjan Chowdhury,INC,583549,Indranil Sen,AITC,226982,356567,2014
511,511,West Bengal,11,Murshidabad,GEN,Badaruddoza Khan,CPM,426947,Abdul Mannan Hossain,INC,408494,18453,2014
512,512,West Bengal,12,Krishnanagar,GEN,Tapas Paul,AITC,438789,Jha Shantanu,CPM,367534,71255,2014
513,513,West Bengal,13,Ranaghat,SC,Tapas Mandal,AITC,590451,Archana Biswas,CPM,388684,201767,2014
514,514,West Bengal,14,Bangaon,SC,Mamata Thakur,AITC,539999,Debesh Das,CPM,328214,211785,2014
515,515,West Bengal,15,Barrackpore,GEN,Dinesh Trivedi,AITC,479206,Subhashini Ali,CPM,272433,206773,2014
516,516,West Bengal,16,Dum Dum,GEN,Saugata Roy,AITC,483244,Asim Kumar Dasgupta,CPM,328310,154934,2014
517,517,West Bengal,17,Barasat,GEN,Dr. Kakali Ghoshdostidar,AITC,525387,Dr. Mortoza Hossain,AIFB,352246,173141,2014
518,518,West Bengal,18,Basirhat,GEN,Idris Ali,AITC,492326,Nurul Huda,CPI,382667,109659,2014
519,519,West Bengal,19,Joynagar,SC,Pratima Mondal,AITC,494746,Subhas Naskar,RSP,386362,108384,2014
520,520,West Bengal,20,Mathurapur,SC,Choudhury Mohan Jatua,AITC,627761,Rinku Naskar,CPM,489325,138436,2014
521,521,West Bengal,21,Diamond Harbour,GEN,Abhishek Banerjee,AITC,508481,Dr. Abul Hasnat,CPM,437183,71298,2014
522,522,West Bengal,22,Jadavpur,GEN,Sugata Bose,AITC,584244,Sujan Chakraborty,CPM,459041,125203,2014
523,523,West Bengal,23,Kolkata Dakshin,GEN,Subrata Bakshi,AITC,431715,Tathagata Roy,BJP,295376,136339,2014
524,524,West Bengal,24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,343687,Rahul (Biswajit) Sinha,BJP,247461,96226,2014
525,525,West Bengal,25,Howrah,GEN,Prasun Banerjee,AITC,488461,Sridip Bhattacharya,CPM,291505,196956,2014
526,526,West Bengal,26,Uluberia,GEN,Sultan Ahmed,AITC,570785,Sabir Uddin Molla,CPM,369563,201222,2014
527,527,West Bengal,27,Serampore,GEN,Kalyan Banerjee,AITC,514933,Tirthankar Ray,CPM,362407,152526,2014
528,528,West Bengal,28,Hooghly,GEN,Dr. Ratna De (Nag),AITC,614312,Pradip Saha,CPM,425228,189084,2014
529,529,West Bengal,29,Arambagh,SC,Aparupa Poddar (Afrin Ali),AITC,748764,Saktimohan Malik,CPM,401919,346845,2014
530,530,West Bengal,30,Tamluk,GEN,Adhikari Suvendu,AITC,716928,Sekh Ibrahim Ali,CPM,470447,246481,2014
531,531,West Bengal,31,Kanthi,GEN,Adhikari Sisir Kumar,AITC,676749,Sinha Tapas,CPM,447259,229490,2014
532,532,West Bengal,32,Ghatal,GEN,Adhikari Deepak (Dev),AITC,685696,Santosh Rana,CPI,424805,260891,2014
533,533,West Bengal,33,Jhargram,ST,Uma Saren,AITC,674504,Dr. Pulin Bihari Baske,CPM,326621,347883,2014
534,534,West Bengal,34,Medinipur,GEN,Sandhya Roy,AITC,579860,Prabodh Panda,CPI,395194,184666,2014
535,535,West Bengal,35,Purulia,GEN,Dr. Mriganka Mahato,AITC,468277,Narahari Mahato,AIFB,314400,153877,2014
536,536,West Bengal,36,Bankura,GEN,Sreemati Dev Varma (Moon Moon Sen),AITC,483455,Acharia Basudeb,CPM,384949,98506,2014
537,537,West Bengal,37,Bishnupur,SC,Khan Saumitra,AITC,578870,Susmita Bauri,CPM,429185,149685,2014
538,538,West Bengal,38,Bardhaman Purba,SC,Sunil Kumar Mondal,AITC,574660,Iswar Chandra Das,CPM,460181,114479,2014
539,539,West Bengal,39,Bardhaman-Durgapur,GEN,Dr. Mamtaz Sanghamita,AITC,554521,Sk. Saidul Haque,CPM,447190,107331,2014
540,540,West Bengal,40,Asansol,GEN,Babul Supriya Baral (Babul Supriyo),BJP,419983,Dola Sen,AITC,349503,70480,2014
541,541,West Bengal,41,Bolpur,SC,Anupam Hazra,AITC,630693,Dome Ramchandra,CPM,394581,236112,2014
542,542,West Bengal,42,Birbhum,GEN,Satabdi Roy (Banerjee),AITC,460568,Dr. Elahi Kamre Muhammad,CPM,393305,67263,2014
