,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
96,96,Delhi,1,Chandni Chowk,GEN,Dr. Harsh Vardhan,BJP,437938,Ashutosh,AAP,301618,136320,2014
97,97,Delhi,2,North East Delhi,GEN,Manoj Tiwari,BJP,596125,Anand Kumar,AAP,452041,144084,2014
98,98,Delhi,3,East Delhi,GEN,Maheish Girri,BJP,572202,Rajmohan Gandhi,AAP,381739,190463,2014
99,99,Delhi,4,New Delhi,GEN,Smt. Meenakshi Lekhi,BJP,453350,Ashish Khetan,AAP,290642,162708,2014
100,100,Delhi,5,North West Delhi,SC,Udit Raj,BJP,629860,Rakhi Birla,AAP,523058,106802,2014
101,101,Delhi,6,West Delhi,GEN,Parvesh Sahib Singh Verma,BJP,651395,Jarnail Singh,AAP,382809,268586,2014
102,102,Delhi,7,South Delhi,GEN,Ramesh Bidhuri,BJP,497980,Col Devinder Sehrawat,AAP,390980,107000,2014
103,103,Goa,1,North Goa,GEN,Shripad Yesso Naik,BJP,237903,Ravi Naik,INC,132304,105599,2014
104,104,Goa,2,South Goa,GEN,Adv. Narendra Keshav Sawaikar,BJP,198776,Aleixo Reginaldo Lourenco,INC,166446,32330,2014
105,105,Gujarat,1,Kutch,SC,Chavda Vinod Lakhamashi,BJP,562855,Dr.Dinesh Parmar,INC,308373,254482,2014
106,106,Gujarat,2,Banaskantha,GEN,Chaudhary Haribhai Parthibhai,BJP,507856,Patel Joitabhai Kasnabhai,INC,305522,202334,2014
107,107,Gujarat,3,Patan,GEN,Liladharbhai Khodaji Vaghela,BJP,518538,Rathod Bhavsinhbhai Dahyabhai,INC,379819,138719,2014
108,108,Gujarat,4,Mehsana,GEN,Patel Jayshreeben Kanubhai,BJP,580250,Patel Jivabhai Ambalal,INC,371359,208891,2014
109,109,Gujarat,5,Sabarkantha,GEN,Rathod Dipsinh Shankarsinh,BJP,552205,Shankersinh Vaghela Bapu,INC,467750,84455,2014
110,110,Gujarat,6,Gandhinagar,GEN,L.K.Advani,BJP,773539,Kiritbhai Ishvarbhai Patel,INC,290418,483121,2014
111,111,Gujarat,7,Ahmedabad East,GEN,Paresh Rawal,BJP,633582,Patel Himmatsingh Prahladsingh,INC,306949,326633,2014
112,112,Gujarat,8,Ahmedabad West,SC,Dr. Kirit P Solanki,BJP,617104,Ishwarbahi Dhanabhai Makwana,INC,296793,320311,2014
113,113,Gujarat,9,Surendranagar,GEN,Fatepara Devajibhai Govindbhai,BJP,529003,Koli Patel Somabhai Gandalal,INC,326096,202907,2014
114,114,Gujarat,10,Rajkot,GEN,Kundariya Mohanbhai Kalyanjibhai,BJP,621524,Kunvarjibhai Mohanbhai Bavaliya,INC,375096,246428,2014
115,115,Gujarat,11,Porbandar,GEN,Radadiya Vithalbhai Hansrajbhai,BJP,508437,Jadeja Kandhalbhai Sarmanbhai,NCP,240466,267971,2014
116,116,Gujarat,12,Jamnagar,GEN,Poonamben Hematbhai Maadam,BJP,484412,Ahir Vikrambhai Arjanbhai Madam,INC,309123,175289,2014
117,117,Gujarat,13,Junagadh,GEN,Chudasama Rajeshbhai Naranbhai,BJP,513179,Punjabhai Bhimabhai Vansh,INC,377347,135832,2014
118,118,Gujarat,14,Amreli,GEN,Kachhadiya Naranbhai Bhikhabhai,BJP,436715,Thummar Virjibhai Keshavbhai (Virjibhai Thummar),INC,280483,156232,2014
119,119,Gujarat,15,Bhavnagar,GEN,Dr. Bharatiben Dhirubhai Shiyal,BJP,549529,Rathod Pravinbhai Jinabhai,INC,254041,295488,2014
120,120,Gujarat,16,Anand,GEN,Dilip Patel,BJP,490829,Solanki Bharatbhai Madhavsinh,INC,427403,63426,2014
121,121,Gujarat,17,Kheda,GEN,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),BJP,568235,Dinsha Patel,INC,335334,232901,2014
122,122,Gujarat,18,Panchmahal,GEN,Chauhan Prabhatsinh Pratapsinh,BJP,508274,Ramsinh Parmar,INC,337678,170596,2014
123,123,Gujarat,19,Dahod,ST,Jasvantsinh Sumanbhai Bhabhor,BJP,511111,Taviyad Dr. Prabhaben Kishorsinh,INC,280757,230354,2014
124,124,Gujarat,20,Vadodara,GEN,Ranjanaben Dhananjay Bhatt,BJP,526763,Narendra Ravat,INC,197256,329507,2014
125,125,Gujarat,21,Chhota Udaipur,ST,Ramsinh Rathwa,BJP,607916,Naranbhai Jemalabhai Rathva,INC,428187,179729,2014
126,126,Gujarat,22,Bharuch,GEN,Vasava Mansukhbhai Dhanjibhai,BJP,548902,Patel Jayeshbhai Ambalalbhai (Jayesh Kaka),INC,395629,153273,2014
127,127,Gujarat,23,Bardoli,ST,Vasava Parbhubhai Nagarbhai,BJP,622769,Chaudhari Tusharbhai Amarsinhbhai,INC,498885,123884,2014
128,128,Gujarat,24,Surat,GEN,Jardosh Darshnaben Vikrambhai,BJP,718412,Desai Naishadhbhai Bhupatbhai,INC,185222,533190,2014
129,129,Gujarat,25,Navsari,GEN,C. R. Patil,BJP,820831,Maksud Mirza,INC,262715,558116,2014
130,130,Gujarat,26,Valsad,ST,Dr. K.C.Patel,BJP,617772,Kishanbhai Vestabhai Patel,INC,409768,208004,2014
131,131,Haryana,1,Ambala,SC,Rattan Lal Kataria,BJP,612121,Raj Kumar Balmiki,INC,272047,340074,2014
