,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
61,61,Bihar,2,Bettiah,GEN,Dr Madan Prasad Jaiswal,M,BJP,343027,Mataur Rahman,M,RJD,303377,39650,1999
62,62,Bihar,3,Motihari,GEN,Radha Mohan Singh,M,BJP,338696,Rama Devi,M,RJD,317026,21670,1999
63,63,Bihar,4,Gopalganj,GEN,Raghunath Jha,M,JD(U),365107,Kali Prasad Pandey,M,RJD,328983,36124,1999
64,64,Bihar,5,Siwan,GEN,M Sahabuddin,M,RJD,385069,Amar Nath Yadav,M,CPI(ML)(L),255229,129840,1999
65,65,Bihar,6,Maharajganj,GEN,Prabhunath Singh,M,JD(U),398475,Mahachandra Prasad Singh,M,INC,294412,104063,1999
66,66,Bihar,7,Chapra,GEN,Rajiv Pratap Rudi,M,BJP,390477,Hira Lal Rai,M,RJD,346924,43553,1999
67,67,Bihar,8,Hajipur,SC,Ram Vilas Paswan,M,JD(U),434609,Ramai Ram,M,RJD,329105,105504,1999
68,68,Bihar,9,Vaishali,GEN,Raghuvansh Prasad Singh,M,RJD,308458,Lovely Anand,M,BPSP,263066,45392,1999
69,69,Bihar,10,Muzaffarpur,GEN,Captain Jai Na. Pd. Nishad,M,JD(U),363820,Mahendra Sahni,M,RJD,303100,60720,1999
70,70,Bihar,11,Sitamarhi,GEN,Nawal Kishore Rai,M,JD(U),410557,Suryadeo Rai,M,RJD,309300,101257,1999
71,71,Bihar,12,Sheohar,GEN,Md Anwarul Haque,M,RJD,347279,Anand Mohan,M,BPSP,344744,2535,1999
72,72,Bihar,13,Madhubani,GEN,Hukumdeo Narayan Yadav,M,BJP,328616,Dr Shakil Ahmad,M,INC,266001,62615,1999
73,73,Bihar,14,Jhanjharpur,GEN,Devendra Prasad Yadav,M,JD(U),375852,Surendra Prasad Yadav,M,RJD,248038,127814,1999
74,74,Bihar,15,Darbhanga,GEN,Kirti Azad,M,BJP,395549,Md Ali Ashraf Fatmi,M,RJD,340001,55548,1999
75,75,Bihar,16,Rosera,SC,Ram Chandra Paswan,M,JD(U),420564,Pitamber Paswan,M,RJD,277648,142916,1999
76,76,Bihar,17,Samastipur,GEN,Manjay Lal,M,JD(U),368776,Ashok Singh,M,RJD,356088,12688,1999
77,77,Bihar,18,Barh,GEN,Nitish Kumar,M,JD(U),362016,Vijay Krishna,M,RJD,360681,1335,1999
78,78,Bihar,19,Balia,GEN,Ramjivan Singh,M,JD(U),169443,Ashok Kumar,M,RJD,157411,12032,1999
79,79,Bihar,20,Saharsa,GEN,Dinesh Chandra Yadav,M,JD(U),392926,Surya Narayan Yadav,M,RJD,298433,94493,1999
80,80,Bihar,21,Madhepura,GEN,Sharad Yadav,M,JD(U),328761,Lalu Prasad,M,RJD,298441,30320,1999
81,81,Bihar,22,Araria,SC,Sukdeo Paswan,M,RJD,308579,Parmanand Rishidev,M,BJP,306410,2169,1999
82,82,Bihar,23,Kishanganj,GEN,Syed Shahnawaz Hussain,M,BJP,258035,Taslimuddin,M,RJD,249387,8648,1999
83,83,Bihar,24,Purnia,GEN,Rajesh Ranjan,M,IND,438193,Jay Krishna Mandal,M,BJP,185627,252566,1999
84,84,Bihar,25,Katihar,GEN,Nikhil Kumar Choudhary,M,BJP,280911,Tariq Anwar,M,NCP,144059,136852,1999
85,85,Bihar,26,Rajmahal,ST,Thomas Hansda,M,INC,250298,Som Marandi,M,BJP,188199,62099,1999
86,86,Bihar,27,Dumka,ST,Babu Lal Marandi,M,BJP,201141,Rupi Soren Kisku,M,JMM,196493,4648,1999
87,87,Jharkhand,By Polls (2002),Dumka,ST,Shibu Soren,M,JMM,256360,Ramesh Hembram,M,BJP,163535,92825,1999
88,88,Bihar,28,Godda,GEN,Jagdambi Prasad Yadav,M,BJP,221191,Suraj Mandal,M,JMM,141299,79892,1999
89,89,Jharkhand,By Polls (2002),Godda,GEN,Pradeep Yadav,M,BJP,235939,Furkan Ansari,M,INC,142677,93262,1999
90,90,Bihar,29,Banka,GEN,Digvijay Singh,M,JD(U),233453,Giridhari Yadav,M,IND,212045,21408,1999
91,91,Bihar,30,Bhagalpur,GEN,Subodh Ray,M,CPM,321159,Prabhash Chandra Tiwari,M,BJP,275619,45540,1999
92,92,Bihar,31,Khagaria,GEN,Renu Kumari,F,JD(U),293412,Nayana Rana,M,RJD,261590,31822,1999
93,93,Bihar,32,Monghyr,GEN,Brahma Nand Mandal,M,JD(U),346615,Bijoy Kumar  Bijoy,M,RJD,324800,21815,1999
94,94,Bihar,33,Begusarai,GEN,Rajo Singh,M,INC,318244,Shyam Sundar Singh,M,JD(U),298294,19950,1999
95,95,Bihar,34,Nalanda,GEN,George Fernandes,M,JD(U),464458,Gaya Singh,M,CPI,358637,105821,1999
96,96,Bihar,35,Patna,GEN,C P Thakur,M,BJP,379370,Ram Kripal Yadav,M,RJD,332478,46892,1999
97,97,Bihar,36,Arrah,GEN,Ram Prasad Singh,M,RJD,264140,H P Singh,M,JD(U),171858,92282,1999
98,98,Bihar,37,Buxar,GEN,Lal Muni Choubey,M,BJP,235968,Shivanand Tiwary,M,RJD,224362,11606,1999
99,99,Bihar,38,Sasaram,SC,Muni Lall,M,BJP,257223,Ram Keshi Bharati,M,RJD,238547,18676,1999
100,100,Bihar,39,Bikramganj,GEN,Kanti Singh,F,RJD,346259,Vashisht  Narayan Singh,M,JD(U),311491,34768,1999
101,101,Bihar,40,Aurangabad,GEN,Shyama Singh,F,INC,317418,Sushil Kumar Singh,M,JD(U),247002,70416,1999
102,102,Bihar,41,Jahanabad,GEN,Arun Kumar,M,JD(U),333332,Surendra Prasad Yadav,M,RJD,316045,17287,1999
103,103,Bihar,42,Nawada,SC,Sanjay Paswan,M,BJP,453943,Vijay Kumar Choudhary,M,RJD,369858,84085,1999
104,104,Bihar,43,Gaya,SC,Ramji Manjhi,M,BJP,319530,Rajesh Kumar,M,RJD,298747,20783,1999
105,105,Bihar,44,Chatra,GEN,Nagmani,M,RJD,219783,Dhirendra Agrawal,M,BJP,164684,55099,1999
106,106,Bihar,45,Kodarma,GEN,Tilakdhari Pd Singh,M,INC,273808,Ritlal Prasad Verma,M,BJP,263630,10178,1999
107,107,Bihar,46,Giridih,GEN,Ravindra Kumar Pandey,M,BJP,248454,Rajendra Prasad Singh,M,INC,228630,19824,1999
108,108,Bihar,47,Dhanbad,GEN,Rita Verma,F,BJP,366065,A K Roy,M,MCO,351839,14226,1999
109,109,Bihar,48,Hazaribagh,GEN,Yashwant Sinha,M,BJP,283956,Akalu Ram Mahto,M,RJD,101314,182642,1999
110,110,Bihar,49,Ranchi,GEN,Ram Tahal Choudhary,M,BJP,379261,K K Tewari,M,INC,138084,241177,1999
