,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
269,269,269,Manipur,Outer Manipur,ST,Alfred Kan-Ngam Arthur,INC,48,384954,Kachui Timothy Zimik,NPF,37,299536,11,85418
270,270,270,Meghalaya,Tura,ST,Saleng A. Sangma,INC,56,383919,Agatha Sangma,NPP,33,228678,23,155241
271,271,271,Odisha,Sundargarh,ST,Jual Oram,BJP,42,494282,Dilip Kumar Tirkey,BJD,30,355474,12,138808
272,272,272,Odisha,Sambalpur,GEN,Dharmendra Pradhan,BJP,49,592162,Pranab Prakash Das,BJD,39,472326,10,119836
273,273,273,Odisha,Keonjhar,ST,Ananta Nayak,BJP,45,573923,Dhanurjaya Sidu,BJD,37,476881,7,97042
274,274,274,Odisha,Mayurbhanj,ST,Naba Charan Majhi,BJP,49,585971,Sudam Marndi,BJD,31,366637,18,219334
275,275,275,Odisha,Balasore,GEN,Pratap Chandra Sarangi,BJP,45,563865,Lekhasri Samantsinghar,BJD,33,416709,11,147156
276,276,276,Odisha,Bhadrak,SC,Avimanyu Sethi,BJP,44,573319,Manjulata Mandal,BJD,37,481775,7,91544
277,277,277,Odisha,Jajpur,SC,Rabindra Narayan Behera,BJP,46,534239,Sarmistha Sethi,BJD,45,532652,0,1587
278,278,278,Odisha,Dhenkanal,GEN,Rudra Narayan Pany,BJP,50,598721,Abinash Samal,BJD,43,522154,6,76567
279,279,279,Odisha,Bolangir,GEN,Sangeeta Kumari Singh Deo,BJP,44,617744,Surendra Singh Bhoi,BJD,34,485080,9,132664
280,280,280,Odisha,Kalahandi,GEN,Malvika Devi,BJP,40,544303,Lambodar Nial,BJD,30,410490,10,133813
281,281,281,Odisha,Nabarangpur,ST,Balabhadra Majhi,BJP,38,481396,Pradeep Kumar Majhi,BJD,31,393860,7,87536
282,282,282,Odisha,Kandhamal,GEN,Sukanta Kumar Panigrahi,BJP,41,416415,Achyutananda Samanta,BJD,39,395044,2,21371
283,283,283,Odisha,Cuttack,GEN,Bhartruhari Mahtab,BJP,47,531601,Santrupt Misra,BJD,42,474524,5,57077
284,284,284,Odisha,Kendrapara,GEN,Baijayant Panda,BJP,48,615705,Anshuman Mohanty,BJD,43,549169,5,66536
285,285,285,Odisha,Jagatsinghpur,SC,Bibhu Prasad Tarai,BJP,45,589093,Rajashree Mallick,BJD,42,548397,3,40696
286,286,286,Odisha,Puri,GEN,Sambit Patra,BJP,52,629330,Arup Patnaik,BJD,43,524621,8,104709
287,287,287,Odisha,Bhubaneswar,GEN,Aparajita Sarangi,BJP,47,512519,Manmath Kumar Routray,BJD,44,477367,3,35152
288,288,288,Odisha,Aska,GEN,Anita Subhadarshini,BJP,48,494226,Ranjita Sahu,BJD,38,394252,9,99974
289,289,289,Odisha,Brahmapur,GEN,Pradeep Kumar Panigrahy,BJP,49,513102,Bhrugu Baxipatra,BJD,33,347626,15,165476
290,290,290,Odisha,Koraput,ST,Saptagiri Sankar Ulaka,INC,41,471393,Kausalya Hikaka,BJD,28,323649,12,147744
291,291,291,Punjab,Amritsar,GEN,Gurjeet Singh Aujla,INC,28,255181,Kuldeep Singh Dhaliwal,AAP,23,214880,4,40301
292,292,292,Punjab,Khadoor Sahib,GEN,Amritpal Singh,Independent,38,404430,Kulbir Singh Zira,INC,19,207310,18,197120
293,293,293,Punjab,Jalandhar,SC,Charanjit Singh Channi,INC,39,390053,Sushil Kumar Rinku,BJP,21,214060,17,175993
294,294,294,Punjab,Hoshiarpur,SC,Raj Kumar Chabbewal,AAP,32,303859,Yamini Gomar,INC,27,259748,4,44111
295,295,295,Punjab,Anandpur Sahib,GEN,Malvinder Singh Kang,AAP,29,313217,Vijay Inder Singla,INC,28,302371,1,10846
296,296,296,Punjab,Ludhiana,GEN,Amrinder Singh Raja Warring,INC,30,322224,Ravneet Singh Bittu,BJP,28,301282,1,20942
297,297,297,Punjab,Fatehgarh Sahib,SC,Amar Singh,INC,34,332591,Gurpreet Singh GP,AAP,30,298389,3,34202
298,298,298,Punjab,Faridkot,SC,Sarabjeet Singh Khalsa,Independent,29,298062,Karamjit Anmol,AAP,22,228009,6,70053
299,299,299,Punjab,Ferozpur,GEN,Sher Singh Ghubaya,INC,23,266626,Jagdeep Singh Kaka Brar,AAP,23,263384,0,3242
300,300,300,Punjab,Bathinda,GEN,Harsimrat Kaur Badal,SAD,32,376558,Gurmeet Singh Khuddian,AAP,28,326902,4,49656
301,301,301,Punjab,Sangrur,GEN,Gurmeet Singh Meet Hayer,AAP,36,364085,Sukhpal Singh Khaira,INC,18,191525,17,172560
302,302,302,Punjab,Patiala,GEN,Dharamvira Gandhi,INC,26,305616,Balbir Singh,AAP,25,290785,1,14831
303,303,303,Rajasthan,Bikaner,SC,Arjun Ram Meghwal,BJP,50,566737,Govind Ram Meghwal,INC,45,511026,5,55711
304,304,304,Rajasthan,Churu,GEN,Rahul Kaswan,INC,51,728211,Devendra Jhajharia,BJP,46,655474,5,72737
