,Name,State,CVI SCORE
281,Jagatsinghpur,Orissa,5.0
282,Puri,Orissa,4.0
283,Bhubaneswar,Orissa,4.0
284,Aska,Orissa,5.0
288,Koraput,Orissa,2.0
289,Kalahandi,Orissa,6.0
290,Bolangir,Orissa,5.0
291,Sambalpur,Orissa,5.0
292,Dhenkanal,Orissa,6.0
293,Sundargarh,Orissa,4.0
294,Keonjhar,Orissa,5.0
295,Ganganagar,Rajasthan,7.0
296,Bikaner,Rajasthan,5.0
297,Churu,Rajasthan,6.0
299,Jhunjhunu,Rajasthan,7.0
300,Sikar,Rajasthan,6.0
301,Jaipur,Rajasthan,3.0
302,Dausa,Rajasthan,4.0
304,Alwar,Rajasthan,5.0
305,Bharatpur,Rajasthan,6.0
306,Ajmer,Rajasthan,4.0
307,Kota,Rajasthan,5.0
308,Banswara,Rajasthan,5.0
309,Udaipur,Rajasthan,6.0
311,Chittorgarh,Rajasthan,4.0
312,Bhilwara,Rajasthan,6.0
313,Pali,Rajasthan,4.0
315,Jalore,Rajasthan,5.0
316,Barmer,Rajasthan,5.0
317,Jodhpur,Rajasthan,4.0
318,Nagaur,Rajasthan,5.0
319,Nagaur,Rajasthan,7.0
320,Sikkim,Sikkim,4.0
321,Sikkim,Sikkim,3.0
322,Sriperumbudur,Tamil Nadu,5.0
323,Arakkonam,Tamil Nadu,6.0
324,Vellore,Tamil Nadu,6.0
325,Cuddalore,Tamil Nadu,6.0
326,Chidambaram,Tamil Nadu,5.0
327,Dharmapuri,Tamil Nadu,6.0
328,Krishnagiri,Tamil Nadu,4.0
329,Salem,Tamil Nadu,7.0
330,Nilgiris,Tamil Nadu,5.0
331,Coimbatore,Tamil Nadu,6.0
332,Pollachi,Tamil Nadu,6.0
333,Dindigul,Tamil Nadu,6.0
334,Madurai,Tamil Nadu,5.0
335,Karur,Tamil Nadu,6.0
336,Tiruchirappalli,Tamil Nadu,7.0
337,Tiruchirappalli,Tamil Nadu,8.0
338,Perambalur,Tamil Nadu,5.0
339,Mayiladuthurai,Tamil Nadu,5.0
340,Nagapattinam,Tamil Nadu,6.0
342,Sivaganga,Tamil Nadu,3.0
343,Ramanathapuram,Tamil Nadu,6.0
344,Tirunelveli,Tamil Nadu,6.0
345,Tenkasi,Tamil Nadu,4.0
346,Tripura West,Tripura,3.0
348,Tripura East,Tripura,3.0
349,Bijnor,Uttar Pradesh,8.0
351,Amroha,Uttar Pradesh,10.0
352,Moradabad,Uttar Pradesh,7.0
353,Rampur,Uttar Pradesh,6.0
354,Sambhal,Uttar Pradesh,5.0
355,Aonla,Uttar Pradesh,8.0
356,Bareilly,Uttar Pradesh,3.0
357,Bareilly,Uttar Pradesh,2.0
358,Pilibhit,Uttar Pradesh,5.0
359,Shahjahanpur,Uttar Pradesh,5.0
360,Kheri,Uttar Pradesh,4.0
362,Sitapur,Uttar Pradesh,5.0
363,Misrikh,Uttar Pradesh,4.0
364,Hardoi,Uttar Pradesh,5.0
365,Lucknow,Uttar Pradesh,2.0
366,Mohanlalganj,Uttar Pradesh,4.0
367,Unnao,Uttar Pradesh,5.0
368,Rae Bareli,Uttar Pradesh,2.0
372,Pratapgarh,Uttar Pradesh,8.0
373,Amethi,Uttar Pradesh,4.0
377,Sultanpur,Uttar Pradesh,5.0
378,Akbarpur,Uttar Pradesh,4.0
379,Akbarpur,Uttar Pradesh,5.0
382,Faizabad,Uttar Pradesh,7.0
383,Barabanki,Uttar Pradesh,9.0
384,Kaiserganj,Uttar Pradesh,2.0
385,Bahraich,Uttar Pradesh,6.0
386,Gonda,Uttar Pradesh,5.0
387,Basti,Uttar Pradesh,4.0
388,Domariyaganj,Uttar Pradesh,6.0
389,Bansgaon,Uttar Pradesh,5.0
390,Gorakhpur,Uttar Pradesh,2.0
391,Deoria,Uttar Pradesh,6.0
392,Salempur,Uttar Pradesh,7.0
393,Ballia,Uttar Pradesh,7.0
395,Ghosi,Uttar Pradesh,8.0
396,Azamgarh,Uttar Pradesh,8.0
398,Lalganj,Uttar Pradesh,9.0
399,Machhlishahr,Uttar Pradesh,7.0
400,Jaunpur,Uttar Pradesh,10.0
401,Ghazipur,Uttar Pradesh,8.0
402,Chandauli,Uttar Pradesh,7.0
403,Varanasi,Uttar Pradesh,4.0
404,Robertsganj,Uttar Pradesh,7.0
406,Mirzapur,Uttar Pradesh,8.0
410,Phulpur,Uttar Pradesh,4.0
411,Allahabad,Uttar Pradesh,4.0
412,Allahabad,Uttar Pradesh,5.0
415,Fatehpur,Uttar Pradesh,6.0
416,Banda,Uttar Pradesh,7.0
417,Jhansi,Uttar Pradesh,4.0
418,Jalaun,Uttar Pradesh,6.0
419,Etawah,Uttar Pradesh,7.0
420,Kannauj,Uttar Pradesh,7.0
424,Farrukhabad,Uttar Pradesh,6.0
425,Mainpuri,Uttar Pradesh,4.0
427,Etah,Uttar Pradesh,5.0
428,Firozabad,Uttar Pradesh,7.0
430,Agra,Uttar Pradesh,4.0
431,Mathura,Uttar Pradesh,5.0
432,Hathras,Uttar Pradesh,4.0
433,Aligarh,Uttar Pradesh,5.0
434,Bulandshahr,Uttar Pradesh,4.0
435,Baghpat,Uttar Pradesh,6.0
436,Muzaffarnagar,Uttar Pradesh,7.0
437,Kairana,Uttar Pradesh,7.0
438,Saharanpur,Uttar Pradesh,8.0
439,Cooch Behar,West Bengal,3.0
440,Alipurduars,West Bengal,1.0
441,Jalpaiguri,West Bengal,1.0
442,Darjeeling,West Bengal,5.0
443,Raiganj,West Bengal,3.0
444,Balurghat,West Bengal,1.0
445,Jangipur,West Bengal,4.0
447,Murshidabad,West Bengal,2.0
448,Barasat,West Bengal,5.0
449,Basirhat,West Bengal,1.0
450,Mathurapur,West Bengal,3.0
452,Diamond Harbour,West Bengal,1.0
454,Jadavpur,West Bengal,6.0
455,Barrackpore,West Bengal,5.0
456,Dum Dum,West Bengal,5.0
457,Howrah,West Bengal,6.0
459,Uluberia,West Bengal,1.0
460,Serampore,West Bengal,6.0
462,Hooghly,West Bengal,5.0
463,Arambagh,West Bengal,0.0
464,Tamluk,West Bengal,4.0
465,Jhargram,West Bengal,2.0
466,Purulia,West Bengal,2.0
470,Bankura,West Bengal,2.0
471,Asansol,West Bengal,2.0
473,Bolpur,West Bengal,0.0
475,Birbhum,West Bengal,
476,Chandigarh,Chandigarh,5.0
477,New Delhi,Delhi,3.0
478,New Delhi,Delhi,5.0
479,South Delhi,Delhi,2.0
480,South Delhi,Delhi,3.0
481,East Delhi,Delhi,2.0
483,Chandni Chowk,Delhi,4.0
484,Lakshadweep,Lakshadweep,2.0
